Organization Name - EN,Organization Name - FR,owner_org,Number of Informal Requests,Unique Identifier
"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,23804,5998
National Defence,Défense nationale,dnd-mdn,5496,2674
Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp-grc,5461,2020
Global Affairs Canada,Affaires mondiales Canada,dfatd-maecd,5027,2500
Health Canada,Santé Canada,hc-sc,4701,3284
Library and Archives Canada,Bibliothèque et Archives Canada,lac-bac,3726,1778
Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,3715,948
"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,3651,2104
Privy Council Office,Bureau du Conseil privé,pco-bcp,3620,1641
Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,csis-scrs,3391,584
Canada Revenue Agency,Agence du revenu du Canada,cra-arc,3285,1331
Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,3031,1351
Natural Resources Canada,Ressources naturelles Canada,nrcan-rncan,3004,1882
Fisheries and Oceans Canada,Pêches et Océans Canada,dfo-mpo,2942,1397
Public Safety Canada,Sécurité publique Canada,ps-sp,2659,1081
Department of Finance Canada,Ministère des Finances Canada,fin,2570,1455
Public Services and Procurement Canada,Services publics et Approvisionnement Canada,pwgsc-tpsgc,2549,1292
Canadian Heritage,Patrimoine canadien,pch,2504,1092
Transport Canada,Transports Canada,tc,2185,1383
Correctional Service of Canada,Service correctionnel du Canada,csc-scc,2056,1061
Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,tbs-sct,1841,778
Public Health Agency of Canada,Agence de la santé publique du Canada,phac-aspc,1636,775
Department of Justice Canada,Ministère de la Justice Canada,jus,1465,618
Indigenous Services Canada,Services aux Autochtones Canada,isc-sac,1429,621
Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,1368,549
Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",aecl-eacl,1119,40
Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,aandc-aadnc,1107,388
Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,aafc-aac,1075,370
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia-acia,1050,571
Shared Services Canada,Services partagés Canada,ssc-spc,1029,532
Parks Canada,Parcs Canada,pc,998,558
"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",infc,824,353
Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,cmhc-schl,626,248
Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb-cisr,602,184
Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc-ccsn,578,360
Veterans Affairs Canada,Anciens Combattants Canada,vac-acc,526,286
Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,497,170
Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,opc-cpvp,438,225
National Capital Commission,Commission de la capitale nationale,ncc-ccn,436,187
Canadian Space Agency,Agence spatiale canadienne,csa-asc,413,137
Business Development Bank of Canada,Banque de développement du Canada,bdc,384,63
Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,csec-cstc,333,91
Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac-canafe,287,99
