Year,Month,Unique Identifier,Request Number,Summary - EN,Summary - FR,owner_org,Organization Name - EN,Organization Name - FR,Number of Informal Requests
2025,8,c9170c89b8fba4cdf3cc387204dc96bd,A-2024-12370,Discussions about Donald Trump's threat to make Canada the 51st state of the United States.,Discussions sur la menace de Donald Trump de faire du Canada le 51e état des États-Unis.,dfatd-maecd,Global Affairs Canada,Affaires mondiales Canada,6
2025,8,117373b07aafbb6b33a329a4d1245f6b,A-2025-00534,"ESDC - Officer training manual on how to assess the cap for low wage LMIA application (e.g., how Officers are interpreting questions A-H within the LMIA application)","EDSC – Manuel de formation des agents sur la façon d’évaluer la limite concernant les postes à bas salaire dans les demandes d’EIMT (p. ex., manière dont les agents interprètent les questions A-H dans une demande d’EIMT).",esdc-edsc,Employment and Social Development Canada,Emploi et Développement social Canada,5
2025,8,23601a8032cb708f6e0f25f31f1617ce,A-2025-00039,Briefing Note 2025FIN036494 - U.S. Tariffs on Steel and Aluminum,Note d’information 2025FIN036494 – Droits de douane américains sur l’acier et l’aluminium,fin,Department of Finance Canada,Ministère des Finances Canada,4
2025,8,7ed211c007f107a337008298c2bfab14,A-2024-04586,Records concerning Canada becoming the 51st state of the United States or being annexed by the United States.,Documents concernant le fait que le Canada devienne le 51e état des États-Unis ou qu’il soit annexé par les États-Unis.,dfatd-maecd,Global Affairs Canada,Affaires mondiales Canada,4
2025,8,835a7a3350b4e4ce7a1d22bfddf0f799,A-2025-00041,"Records from Department of Justice from January 1, 2023, to May 21, 2025, on legal or constitutional analysis of Alberta’s Recall & Referendum Amendment Act (Bill 54), independence referendum, & government’s response to provincial referenda on separation.","Documents du ministère de la Justice du 1er janvier 2023 au 21 mai 2025 sur l’analyse juridique ou constitutionnelle de la Recall & Referendum Amendment Act (projet de loi 54) de l’Alberta, du référendum sur l’indépendance et de la réponse du gouvernement aux référendums provinciaux sur la séparation.",jus,Department of Justice Canada,Ministère de la Justice Canada,4
2025,8,968b099976c09154e97aa008035e0131,A-2019-01407,"Copy of all briefing notes excluding cabinet confidence from January 12, 2012 to September 18, 2018 regarding artificial intelligence (AI), machine learning (ML) or automated decision-making or decision-assistance algorithms based on AI.","Copie de toutes les notes d’information, à l’exclusion des documents confidentiels du Cabinet, du 12 janvier 2012 au 18 septembre 2018 concernant l’intelligence artificielle (IA), l’apprentissage automatique (AA) ou les algorithmes automatisés de prise de décision ou d’aide à la décision fondés sur l’IA.",jus,Department of Justice Canada,Ministère de la Justice Canada,4
2025,8,084f1332a272f58db2cc84b9e63bbd10,A-2024-365,Integrated Terrorism Assessment Centre (ITAC) threat assessments mentioning Alberta from 2019-01-01 to 2025-03-17.,Évaluations de la menace du Centre intégré d’évaluation du terrorisme (ITAC) mentionnant l’Alberta pour la période du 2019-01-01 au 2025-03-17.,csis-scrs,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,3
2025,8,126934846c6ef91a8eecd4213fd17b99,A-2021-01314,"The RCMP conducted an investigation into the transfer of microbes from the National Microbiology Lab located in Winnipeg, Manitoba in 2019. I would like a copy of this investigation.","La GRC a mené une enquête sur le transfert de microbes depuis le Laboratoire national de microbiologie situé à Winnipeg, au Manitoba, en 2019. J’aimerais avoir une copie de ce rapport d’enquête.",rcmp-grc,Royal Canadian Mounted Police,Gendarmerie royale du Canada,3
2025,8,1fd75349d10a3fab5ec4d060ad675154,A-2025-00319,"Briefing Note 2025 NHQ 000552 ""Meeting of the Committee on Internal Trade""",Note d’information 2025 AC 000552 « Réunion du Comité sur le commerce intérieur »,esdc-edsc,Employment and Social Development Canada,Emploi et Développement social Canada,3
2025,8,2492fb5190cddb97ab22b45a42244c7a,A-2024-00537,Docket 208792: Discussion on Critical Minerals Note to the Prime Minister.,Dossier 208792: Note au premier ministre sur la discussion sur les minéraux critiques.,nrcan-rncan,Natural Resources Canada,Ressources naturelles Canada,3
