Year,Month,Number of Informal Requests,Unique Packages
2026,1,1511,1251
2025,12,1205,961
2025,11,1409,1129
2025,10,1584,1253
2025,9,1328,988
2025,8,1662,1267
2025,7,1554,1215
2025,6,1416,1167
2025,5,1603,1142
2025,4,2046,1622
2025,3,2921,2155
2025,2,3644,2011
2025,1,2937,2387
2024,12,2955,2319
2024,11,3365,2729
2024,10,2539,2129
2024,9,2944,2351
2024,8,2603,2124
2024,7,11470,8618
2024,6,8273,7617
2024,5,9420,8879
2024,4,8230,7830
2024,3,1450,1163
2024,2,2081,1699
2024,1,2102,1604
2023,12,1475,1063
2023,11,1644,1309
2023,10,1648,1366
2023,9,1363,1114
2023,8,1525,1207
2023,7,1396,1102
2023,6,1460,1146
2023,5,1268,1097
2023,4,977,777
2023,3,970,777
2023,2,1080,884
2023,1,1165,914
2022,12,1306,1008
2022,11,815,685
2022,10,1044,859
2022,9,946,779
2022,8,985,792
2022,7,975,795
2022,6,1417,1111
2022,5,1079,880
2022,4,1035,822
2022,3,893,679
2022,2,1240,962
2022,1,1453,1064
2021,12,1186,895
2021,11,1206,967
2021,10,1108,825
2021,9,989,736
2021,8,579,454
2021,7,715,596
2021,6,947,727
2021,5,735,593
2021,4,976,728
2021,3,720,532
2021,2,673,506
2021,1,742,595
2020,12,448,354
2020,11,579,476
2020,10,598,462
2020,9,574,446
2020,8,414,288
2020,7,195,161
2020,6,303,213
2020,5,392,273
2020,4,202,157
2020,3,255,201
2020,2,120,83
2019,12,1,1
