Date,From, To,number of datasets,Non geospatial, % of non-geospatial with 3+ rating,number of API enabled datasets,% of API enable datasets ,Totals downloads,Total visits
2024-02-29,2023-04-01,2024-02-29,4078,1933,49.51,11,2.45,1137490,2642496
2024-02-28,2023-04-01,2024-02-28,4077,1933,49.51,11,2.45,1137490,2642496
2024-02-27,2023-04-01,2024-02-27,4054,1933,49.51,11,2.45,1137490,2642496
2024-02-26,2023-04-01,2024-02-26,4054,1933,49.51,11,2.45,1137490,2642496
2024-02-25,2023-04-01,2024-02-25,4054,1933,49.51,11,2.45,1137490,2642496
2024-02-24,2023-04-01,2024-02-24,4052,1933,49.51,11,2.45,1137490,2642496
2024-02-23,2023-04-01,2024-02-23,4061,1941,49.3,11,2.45,1137490,2642496
2024-02-22,2023-04-01,2024-02-22,4052,1941,49.3,11,2.45,1137490,2642496
2024-02-20,2023-04-01,2024-02-20,4045,1941,49.3,11,2.45,1137490,2642496
2024-02-19,2023-04-01,2024-02-19,4045,1941,49.3,11,2.45,1137490,2642496
2024-02-18,2023-04-01,2024-02-18,4045,1941,49.3,11,2.45,1137490,2642496
2024-02-17,2023-04-01,2024-02-17,4039,1941,49.3,11,2.45,1137490,2642496
2024-02-16,2023-04-01,2024-02-16,4033,1944,49.33,11,2.45,1137490,2642496
2024-02-15,2023-04-01,2024-02-15,4004,1941,49.25,11,2.45,1137490,2642496
2024-02-14,2023-04-01,2024-02-14,3992,1941,49.25,11,2.45,1137490,2642496
2024-02-13,2023-04-01,2024-02-13,3991,1941,49.25,11,2.45,1137490,2642496
2024-02-12,2023-04-01,2024-02-12,3991,1941,49.25,11,2.45,1137490,2642496
2024-02-11,2023-04-01,2024-02-11,3991,1941,49.25,11,2.45,1137490,2642496
2024-02-10,2023-04-01,2024-02-10,3982,1941,49.25,11,2.45,1137490,2642496
2024-02-09,2023-04-01,2024-02-09,3977,1941,49.25,11,2.45,1137490,2642496
2024-02-08,2023-04-01,2024-02-08,3992,1944,49.33,11,2.45,1137490,2642496
2024-02-07,2023-04-01,2024-02-07,3992,1944,49.33,11,2.45,1137490,2642496
2024-02-06,2023-04-01,2024-02-06,3987,1944,49.33,11,2.45,1137490,2642496
2024-02-05,2023-04-01,2024-02-05,3987,1944,49.33,11,2.45,1137490,2642496
2024-02-04,2023-04-01,2024-02-04,3987,1944,49.33,11,2.45,1137490,2642496
2024-02-03,2023-04-01,2024-02-03,3987,1944,49.33,11,2.45,1137490,2642496
2024-02-02,2023-04-01,2024-02-02,3987,1944,49.33,11,2.45,1137490,2642496
2024-02-01,2023-04-01,2024-02-01,3980,1944,49.33,11,2.45,1010099,2278385
2024-01-31,2023-04-01,2024-01-31,3979,1944,49.33,11,2.45,1010099,2278385
2024-01-30,2023-04-01,2024-01-30,3977,1944,49.33,11,2.45,1010099,2278385
2024-01-29,2023-04-01,2024-01-29,3977,1944,49.33,11,2.45,1010099,2278385
2024-01-28,2023-04-01,2024-01-28,3977,1944,49.33,11,2.45,1010099,2278385
2024-01-27,2023-04-01,2024-01-27,3976,1944,49.33,11,2.45,1010099,2278385
2024-01-26,2023-04-01,2024-01-26,3973,1944,49.33,11,2.45,1010099,2278385
2024-01-25,2023-04-01,2024-01-25,3959,1944,49.33,11,2.45,1010099,2278385
2024-01-24,2023-04-01,2024-01-24,3935,1928,49.74,11,2.45,1010099,2278385
2024-01-23,2023-04-01,2024-01-23,3935,1928,49.74,11,2.45,1010099,2278385
2024-01-22,2023-04-01,2024-01-22,3935,1928,49.74,11,2.45,1010099,2278385
2024-01-21,2023-04-01,2024-01-21,3935,1928,49.74,11,2.45,1010099,2278385
2024-01-20,2023-04-01,2024-01-20,3931,1928,49.74,11,2.45,1010099,2278385
2024-01-19,2023-04-01,2024-01-19,3945,1944,49.33,11,2.45,1010099,2278385
2024-01-18,2023-04-01,2024-01-18,3945,1944,49.33,11,2.45,1010099,2278385
2024-01-17,2023-04-01,2024-01-17,3910,1944,49.33,11,2.45,1010099,2278385
2024-01-16,2023-04-01,2024-01-16,3907,1944,49.33,11,2.45,1010099,2278385
2024-01-15,2023-04-01,2024-01-15,3907,1944,49.33,11,2.45,1010099,2278385
2024-01-14,2023-04-01,2024-01-14,3907,1944,49.33,11,2.45,1010099,2278385
2024-01-13,2023-04-01,2024-01-13,3843,1944,49.33,11,2.45,1010099,2278385
2024-01-12,2023-04-01,2024-01-12,3843,1944,49.33,11,2.45,1010099,2278385
2024-01-11,2023-04-01,2024-01-11,3842,1944,49.33,11,2.45,1010099,2278385
2024-01-10,2023-04-01,2024-01-10,3842,1944,49.33,11,2.45,1010099,2278385
2024-01-09,2023-04-01,2024-01-09,3842,1944,49.33,11,2.45,1010099,2278385
2024-01-08,2023-04-01,2024-01-08,3842,1944,49.33,11,2.45,1010099,2278385
2024-01-07,2023-04-01,2024-01-07,3842,1944,49.33,11,2.45,1010099,2278385
2024-01-06,2023-04-01,2024-01-06,3842,1944,49.33,11,2.45,1010099,2278385
2024-01-05,2023-04-01,2024-01-05,3842,1944,49.33,11,2.45,1010099,2278385
2024-01-04,2023-04-01,2024-01-04,3842,1944,49.33,11,2.45,1010099,2278385
2024-01-03,2023-04-01,2024-01-03,3841,1944,49.33,11,2.45,1010099,2278385
2024-01-02,2023-04-01,2024-01-02,3841,1944,49.33,11,2.45,902137,1999570
2024-01-01,2023-04-01,2024-01-01,3841,1944,49.33,11,2.45,902137,1999570
