date,structured_pd,non_structured_pd,total
2024-07-22,2631851,1150,2633001
2024-07-21,2631851,1150,2633001
2024-07-20,2631851,1146,2632997
2024-07-19,2629401,1146,2630547
2024-07-18,2629111,1146,2630257
2024-07-17,2628641,1145,2629786
2024-07-16,2628442,1143,2629585
2024-07-15,2628314,1142,2629456
2024-07-14,2628314,1142,2629456
2024-07-13,2628314,1137,2629451
2024-07-12,2628133,1131,2629264
2024-07-11,2628105,1126,2629231
2024-07-10,2627969,1126,2629095
2024-07-09,2578110,1126,2579236
2024-07-08,2577810,1125,2578935
2024-07-07,2577810,1125,2578935
2024-07-06,2577810,1125,2578935
2024-07-05,2577820,1125,2578945
2024-07-04,2577777,1125,2578902
2024-07-03,2577220,1124,2578344
2024-07-02,2576778,1124,2577902
2024-07-01,2576755,1124,2577879
2024-06-30,2576650,1124,2577774
2024-06-29,2576595,1124,2577719
2024-06-28,2574654,1121,2575775
2024-06-27,2573706,1121,2574827
2024-06-26,2573233,1121,2574354
2024-06-25,2572719,1121,2573840
2024-06-24,2572718,1121,2573839
2024-06-23,2572713,1121,2573834
2024-06-22,2572713,1118,2573831
2024-06-21,2572584,1115,2573699
2024-06-20,2572568,1114,2573682
2024-06-19,2572322,1109,2573431
2024-06-18,2572270,1109,2573379
2024-06-17,2572353,1109,2573462
2024-06-16,2572353,1109,2573462
2024-06-15,2572353,1108,2573461
2024-06-14,2572190,1104,2573294
2024-06-13,2571980,1104,2573084
2024-06-12,2571893,1101,2572994
2024-06-11,2571754,1101,2572855
2024-06-10,2571621,1101,2572722
2024-06-09,2571621,1101,2572722
2024-06-08,2571621,1101,2572722
2024-06-07,2566508,1097,2567605
2024-06-06,2565908,1094,2567002
2024-06-05,2565096,1094,2566190
2024-06-04,2565096,1094,2566190
2024-06-03,2560872,1094,2561966
2024-06-02,2560816,1094,2561910
2024-06-01,2560824,1095,2561919
2024-05-31,2557618,1092,2558710
2024-05-30,2542906,1091,2543997
2024-05-29,2540977,1090,2542067
2024-05-28,2535465,1089,2536554
2024-05-27,2533761,1089,2534850
2024-05-26,2533761,1089,2534850
2024-05-25,2533760,1088,2534848
2024-05-24,2533282,1088,2534370
2024-05-23,2532899,1087,2533986
2024-05-22,2532826,1087,2533913
2024-05-21,2531869,1087,2532956
2024-05-20,2531869,1087,2532956
2024-05-19,2531869,1087,2532956
2024-05-18,2531869,1087,2532956
2024-05-17,2531814,1085,2532899
2024-05-16,2531381,1084,2532465
