owner_org,ati_all,ati_nil,briefingt,contracts,contracts_nil,contractsa,dac,grants,grants_nil,hospitalityq,hospitalityq_nil,parliament_committee,parliament_committee_deputy,parliament_report,qpnotes,qpnotes_nil,reclassification,reclassification_nil,transition,transition_deputy,travela,travelq,travelq_nil,wrongdoing
16342451-canada-inc,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aafc-aac,1510,0,4220,19611,0,8,91,18287,0,31,75,0,0,5,369,0,365,3,3,1,10,2035,3,0
aandc-aadnc,2007,0,6940,9299,1,0,114,21444,0,186,0,9,0,12,540,0,100,20,5,0,6,2136,0,0
acoa-apeca,233,19,1163,2965,0,9,0,30587,0,231,0,0,13,27,7,0,191,17,1,3,5,3184,0,0
aecl-eacl,363,40,0,0,0,0,0,0,0,272,1,0,0,0,0,0,0,0,0,0,0,1566,1,0
apa,9,29,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
apfc-fapc,15,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atssc-scdata,117,36,223,1558,0,9,0,0,0,161,42,0,0,22,0,0,182,3,2,0,3,490,8,0
bc,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bctc-ctcb,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdc,118,17,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,3,78,0,0
bpa-apd,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cannor,109,36,486,126,3,4,0,2009,0,25,59,0,0,0,47,0,4,7,0,0,6,131,29,1
cas-satj,0,0,0,2788,0,8,92,0,0,121,21,0,0,0,0,0,8,0,0,0,0,361,2,0
casdo-ocena,23,58,114,338,0,0,0,143,0,8,67,0,0,0,0,0,0,0,0,1,4,177,30,0
catsa-acsta,44,13,0,0,0,0,0,0,0,572,29,0,0,4,0,0,0,0,0,0,10,1120,29,0
cb-cda,97,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbc-radio-canada,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbsa-asfc,5047,0,903,12650,0,7,112,0,0,308,79,0,0,1,0,0,418,13,0,0,12,1057,23,3
cca-cac,75,19,0,0,0,0,0,0,0,25,16,0,0,0,0,0,0,0,0,0,0,218,1,0
ccc,130,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccohs-cchst,23,63,3,258,0,9,0,0,0,35,86,0,0,20,0,0,0,0,0,0,9,172,50,0
ccperb-cceebc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdc-ccl,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,4,0,0,2,38,0,0
cdev,92,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdic-sadc,36,64,0,0,0,0,0,0,0,84,12,0,0,13,0,0,0,0,0,0,3,328,1,0
ced-dec,303,30,944,2024,0,8,0,16634,0,783,68,0,4,10,94,0,76,31,5,1,14,3009,20,0
ceefc-cfuec,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
