date,ati_all,ati_nil,contracts,contracts_nil,contractsa,grants,grants_nil,reclassification,reclassification_nil,travela,travelq,travelq_nil,hospitalityq,hospitalityq_nil,dac,briefingt,qpnotes,qpnotes_nil,wrongdoing,adminaircraft,total
2025-07-25,194852,5131,1198288,84,559,1180322,210,13726,1054,611,134690,2406,63250,4206,3748,135209,6737,31.0,66,20,2945200
2025-07-24,194753,5124,1198273,84,559,1180124,210,13676,1053,611,134588,2406,63241,4205,3740,135180,6731,31.0,66,20,2944675
2025-07-23,194689,5118,1198133,84,559,1179950,210,13676,1051,611,134554,2402,63241,4202,3737,135104,6731,31.0,66,20,2944169
2025-07-22,194647,5115,1198206,84,559,1179873,210,13676,1050,611,134503,2402,63233,4201,3737,135079,6737,31.0,66,20,2944040
2025-07-21,194536,5113,1198250,84,559,1179870,210,13675,1049,611,134456,2401,63225,4198,3730,135033,6689,31.0,66,20,2943806
2025-07-20,194536,5113,1198250,84,559,1179870,210,13675,1049,611,134456,2401,63225,4198,3730,135033,6689,31.0,66,20,2943806
2025-07-19,194536,5113,1198250,84,559,1179870,210,13675,1049,611,134456,2401,63225,4198,3730,135033,6689,31.0,66,20,2943806
2025-07-18,194461,5113,1198236,83,559,1179872,211,13675,1049,611,134447,2400,63224,4197,3727,135028,6416,31.0,66,20,2943426
2025-07-17,194460,5112,1198310,83,559,1179902,210,13672,1046,611,134430,2400,63223,4195,3727,135012,6341,31.0,66,20,2943410
2025-07-16,194453,5093,1198300,83,559,1179904,210,13672,1045,611,134416,2398,63220,4194,3727,134997,6288,30.0,66,20,2943286
2025-07-15,194432,5087,1198300,83,559,1179904,210,13671,1043,610,134257,2398,63187,4194,3719,134940,6244,30.0,66,20,2942954
2025-07-14,194408,5076,1197531,83,559,1179881,210,13671,1043,610,134240,2397,63179,4193,3719,134932,6244,29.0,66,20,2942091
2025-07-13,194405,5071,1197531,83,559,1179881,210,13671,1043,610,134240,2397,63179,4193,3719,134932,6244,29.0,66,20,2942083
2025-07-12,194405,5071,1197531,83,559,1179881,210,13671,1043,610,134240,2397,63179,4193,3719,134932,6244,29.0,66,20,2942083
2025-07-11,194243,5063,1197533,83,558,1179884,210,13668,1040,609,134234,2397,63179,4191,3715,134933,6244,29.0,66,20,2941899
2025-07-10,194214,5062,1197532,83,558,1179885,210,13668,1039,609,134230,2396,63178,4190,3715,134931,6236,29.0,66,20,2941851
2025-07-09,194202,5056,1197530,83,558,1179887,210,13668,1036,609,134212,2395,63177,4189,3715,134931,6236,29.0,66,20,2941809
2025-07-08,194200,5037,1197531,82,558,1179888,210,13666,1034,609,134181,2394,63170,4188,3715,134931,6236,28.0,66,20,2941744
2025-07-07,194204,5035,1197517,82,558,1179866,209,13655,1033,609,134180,2394,63168,4188,3715,134931,6236,28.0,66,20,2941694
2025-07-06,194204,5035,1197517,82,558,1179866,209,13655,1033,609,134180,2394,63168,4188,3715,134931,6236,28.0,66,20,2941694
2025-07-05,194204,5035,1197517,82,558,1179866,209,13655,1033,609,134180,2394,63168,4188,3715,134931,6236,28.0,66,20,2941694
2025-07-04,194187,5035,1197516,82,558,1179864,209,13655,1030,609,134156,2393,63151,4188,3715,134932,6236,28.0,66,20,2941630
2025-07-03,194167,5023,1197635,82,558,1179829,209,13644,1029,609,134107,2393,63151,4186,3712,134926,6236,28.0,66,20,2941610
2025-07-02,193995,5012,1197635,82,558,1179829,209,13644,1028,609,134076,2391,63109,4182,3712,134883,6233,28.0,66,20,2941301
2025-07-01,193995,5012,1197635,82,558,1179829,209,13644,1028,609,134076,2391,63109,4182,3712,134883,6233,28.0,66,20,2941301
2025-06-30,193691,5007,1197595,82,558,1179829,209,13641,1028,609,133990,2389,63085,4177,3712,134363,6233,28.0,66,20,2940312
2025-06-29,193691,5007,1197595,82,558,1179829,209,13641,1028,609,133979,2389,63047,4177,3712,134299,6233,28.0,66,20,2940199
2025-06-28,193691,5007,1197595,82,558,1179829,209,13641,1028,609,133979,2389,63047,4177,3712,134236,6233,28.0,66,20,2940136
2025-06-27,193568,5003,1197595,82,557,1179829,209,13641,1028,609,133810,2387,63033,4164,3712,133970,6233,28.0,66,20,2939544
