date,pd_type,pd_count
2024-04-14,ati_all,172735
2024-04-14,dac,3023
2024-04-14,contracts_nil,76
2024-04-14,contractsa,403
2024-04-14,grants,984447
2024-04-14,grants_nil,173
2024-04-14,reclassification,11318
2024-04-14,reclassification_nil,888
2024-04-14,travela,493
2024-04-14,travelq,97278
2024-04-14,travelq_nil,2036
2024-04-14,hospitalityq,23359
2024-04-14,briefingt,108502
2024-04-14,ati_nil,3426
2024-04-14,qpnotes,5298
2024-04-14,wrongdoing,51
2024-04-14,adminaircraft,20
2024-04-14,transition,70
2024-04-14,transition_deputy,49
2024-04-14,parliament_report,386
2024-04-14,parliament_committee,284
2024-04-14,parliament_committee_deputy,276
2024-04-14,contracts,1060328
2024-04-14,hospitalityq_nil,3411
2024-04-12,grants,984447
2024-04-12,contractsa,403
2024-04-12,reclassification_nil,887
2024-04-12,contracts_nil,76
2024-04-12,hospitalityq,23359
2024-04-12,parliament_committee,284
2024-04-12,travelq,97269
2024-04-12,adminaircraft,20
2024-04-12,contracts,1060328
2024-04-12,ati_all,172662
2024-04-12,hospitalityq_nil,3411
2024-04-12,parliament_committee_deputy,276
2024-04-12,reclassification,11318
2024-04-12,dac,3023
2024-04-12,briefingt,108504
2024-04-12,wrongdoing,51
2024-04-12,grants_nil,173
2024-04-12,parliament_report,386
2024-04-12,transition,70
2024-04-12,ati_nil,3425
2024-04-12,travela,493
2024-04-12,transition_deputy,49
2024-04-12,qpnotes,5298
2024-04-12,travelq_nil,2036
2024-04-11,reclassification_nil,886
2024-04-11,travelq_nil,2036
2024-04-11,transition_deputy,49
2024-04-11,ati_nil,3425
2024-04-11,parliament_committee_deputy,273
2024-04-11,hospitalityq_nil,3410
2024-04-11,reclassification,11318
2024-04-11,contractsa,403
2024-04-11,travela,493
2024-04-11,adminaircraft,20
2024-04-11,transition,70
2024-04-11,parliament_committee,283
2024-04-11,hospitalityq,23359
2024-04-11,wrongdoing,51
2024-04-11,parliament_report,385
2024-04-11,contracts_nil,76
2024-04-11,travelq,97268
2024-04-11,grants_nil,173
2024-04-11,ati_all,172629
2024-04-11,grants,984444
2024-04-11,qpnotes,5298
2024-04-11,dac,3023
2024-04-11,briefingt,108380
2024-04-11,contracts,1060284
2024-04-10,parliament_committee,283
2024-04-10,hospitalityq,23359
2024-04-10,contracts_nil,76
2024-04-10,briefingt,108380
2024-04-10,wrongdoing,51
2024-04-10,parliament_report,385
2024-04-10,grants_nil,173
2024-04-10,transition,70
2024-04-10,travela,493
2024-04-10,travelq_nil,2035
2024-04-10,qpnotes,5298
2024-04-10,grants,984439
2024-04-10,ati_nil,3324
2024-04-10,transition_deputy,49
2024-04-10,travelq,97268
2024-04-10,adminaircraft,20
2024-04-10,reclassification_nil,886
2024-04-10,hospitalityq_nil,3409
2024-04-10,contractsa,403
2024-04-10,reclassification,11315
2024-04-10,parliament_committee_deputy,273
2024-04-10,dac,3008
2024-04-10,contracts,1060280
2024-04-10,ati_all,172600
2024-04-09,briefingt,108376
2024-04-09,parliament_report,382
2024-04-09,dac,3002
2024-04-09,hospitalityq_nil,3406
2024-04-09,transition,70
2024-04-09,travela,493
2024-04-09,qpnotes,5298
2024-04-09,wrongdoing,51
2024-04-09,travelq_nil,2032
2024-04-09,parliament_committee_deputy,273
2024-04-09,grants,984439
2024-04-09,ati_nil,3319
2024-04-09,transition_deputy,49
2024-04-09,travelq,97267
2024-04-09,reclassification_nil,885
2024-04-09,reclassification,11298
2024-04-09,hospitalityq,23359
2024-04-09,contractsa,403
2024-04-09,parliament_committee,282
2024-04-09,grants_nil,173
2024-04-09,ati_all,172593
2024-04-09,contracts,1060281
2024-04-09,adminaircraft,20
2024-04-09,contracts_nil,76
2024-04-07,contracts_nil,76
2024-04-07,hospitalityq,23359
2024-04-07,travela,493
2024-04-07,parliament_report,382
2024-04-07,grants_nil,173
2024-04-07,parliament_committee,282
2024-04-07,grants,984439
2024-04-07,parliament_committee_deputy,273
2024-04-07,reclassification,11298
2024-04-07,hospitalityq_nil,3406
2024-04-07,ati_nil,3312
2024-04-07,transition_deputy,49
2024-04-07,travelq,97267
2024-04-07,adminaircraft,20
2024-04-07,wrongdoing,51
2024-04-07,dac,3002
2024-04-07,travelq_nil,2032
2024-04-07,reclassification_nil,881
2024-04-07,contracts,1060266
2024-04-07,briefingt,108307
2024-04-07,ati_all,172528
2024-04-07,qpnotes,5298
2024-04-07,contractsa,403
2024-04-07,transition,70
2024-04-06,qpnotes,5298
2024-04-06,briefingt,108307
2024-04-06,contracts_nil,76
2024-04-06,dac,3002
2024-04-06,hospitalityq_nil,3406
2024-04-06,wrongdoing,51
2024-04-06,adminaircraft,20
2024-04-06,contracts,1060266
2024-04-06,transition_deputy,49
2024-04-06,travelq,97267
2024-04-06,transition,70
2024-04-06,travelq_nil,2032
2024-04-06,hospitalityq,23359
2024-04-06,ati_all,172528
2024-04-06,parliament_committee_deputy,273
2024-04-06,parliament_committee,281
2024-04-06,travela,493
2024-04-06,parliament_report,382
2024-04-06,reclassification_nil,881
2024-04-06,grants,984439
2024-04-06,ati_nil,3312
2024-04-06,contractsa,403
2024-04-06,grants_nil,173
2024-04-06,reclassification,11298
2024-04-05,contractsa,403
2024-04-05,qpnotes,5298
2024-04-05,dac,3002
2024-04-05,adminaircraft,20
2024-04-05,contracts_nil,76
2024-04-05,hospitalityq_nil,3398
2024-04-05,wrongdoing,51
2024-04-05,parliament_committee_deputy,273
2024-04-05,travelq_nil,2030
2024-04-05,reclassification_nil,881
2024-04-05,ati_all,172440
2024-04-05,briefingt,108237
2024-04-05,transition,70
2024-04-05,parliament_committee,281
2024-04-05,ati_nil,3310
2024-04-05,reclassification,11298
2024-04-05,contracts,1060219
2024-04-05,travelq,97251
2024-04-05,transition_deputy,49
2024-04-05,grants_nil,173
2024-04-05,travela,493
2024-04-05,hospitalityq,23359
2024-04-05,parliament_report,382
2024-04-05,grants,984357
2024-04-04,contracts_nil,76
2024-04-04,parliament_committee,281
2024-04-04,hospitalityq,23356
2024-04-04,parliament_report,382
2024-04-04,ati_all,172281
2024-04-04,qpnotes,5298
2024-04-04,briefingt,108226
2024-04-04,contractsa,403
2024-04-04,adminaircraft,20
2024-04-04,reclassification,11298
2024-04-04,grants,984357
2024-04-04,reclassification_nil,880
2024-04-04,grants_nil,173
2024-04-04,travelq,97242
2024-04-04,parliament_committee_deputy,271
2024-04-04,travelq_nil,2028
2024-04-04,wrongdoing,51
2024-04-04,ati_nil,3305
2024-04-04,transition_deputy,49
2024-04-04,transition,70
2024-04-04,travela,493
2024-04-04,contracts,1059997
2024-04-04,hospitalityq_nil,3396
2024-04-04,dac,3002
2024-04-03,dac,3002
2024-04-03,contractsa,403
2024-04-03,grants_nil,173
2024-04-03,hospitalityq,23353
2024-04-03,adminaircraft,20
2024-04-03,parliament_committee_deputy,271
2024-04-03,wrongdoing,51
2024-04-03,hospitalityq_nil,3395
2024-04-03,parliament_committee,281
2024-04-03,reclassification,11298
2024-04-03,ati_all,172268
2024-04-03,briefingt,108221
2024-04-03,transition,70
2024-04-03,contracts_nil,76
2024-04-03,travela,493
2024-04-03,ati_nil,3296
2024-04-03,travelq,97207
2024-04-03,transition_deputy,49
2024-04-03,grants,984352
2024-04-03,reclassification_nil,879
2024-04-03,travelq_nil,2027
2024-04-03,qpnotes,5298
2024-04-03,contracts,1059974
2024-04-03,parliament_report,382
2024-04-02,reclassification,11293
2024-04-02,adminaircraft,20
2024-04-02,wrongdoing,51
2024-04-02,hospitalityq_nil,3394
2024-04-02,grants_nil,172
2024-04-02,transition_deputy,49
2024-04-02,reclassification_nil,878
2024-04-02,ati_all,172045
2024-04-02,contractsa,403
2024-04-02,travelq_nil,2026
2024-04-02,grants,984352
2024-04-02,hospitalityq,23329
2024-04-02,travelq,97096
2024-04-02,parliament_report,382
2024-04-02,briefingt,108097
2024-04-02,qpnotes,5298
2024-04-02,ati_nil,3284
2024-04-02,parliament_committee_deputy,271
2024-04-02,dac,3002
2024-04-02,parliament_committee,281
2024-04-02,contracts,1059968
2024-04-02,contracts_nil,76
2024-04-02,travela,495
2024-04-02,transition,70
2024-04-01,contracts,1059968
2024-04-01,dac,3002
2024-04-01,parliament_report,382
2024-04-01,grants_nil,172
2024-04-01,travelq,97096
2024-04-01,briefingt,108097
2024-04-01,ati_nil,3284
2024-04-01,ati_all,172039
2024-04-01,travela,495
2024-04-01,hospitalityq_nil,3394
2024-04-01,adminaircraft,20
2024-04-01,travelq_nil,2026
2024-04-01,contractsa,403
2024-04-01,contracts_nil,76
2024-04-01,parliament_committee,281
2024-04-01,qpnotes,5298
2024-04-01,hospitalityq,23329
2024-04-01,transition,70
2024-04-01,reclassification_nil,878
2024-04-01,reclassification,11293
2024-04-01,wrongdoing,51
2024-04-01,grants,984352
2024-04-01,parliament_committee_deputy,271
2024-04-01,transition_deputy,49
2024-03-31,dac,3002
2024-03-31,grants,984352
2024-03-31,contracts,1059968
2024-03-31,qpnotes,5298
2024-03-31,ati_all,172039
2024-03-31,travela,495
2024-03-31,grants_nil,172
2024-03-31,adminaircraft,20
2024-03-31,ati_nil,3284
2024-03-31,travelq,97095
2024-03-31,transition_deputy,49
2024-03-31,transition,70
2024-03-31,reclassification_nil,878
2024-03-31,travelq_nil,2026
2024-03-31,contracts_nil,76
2024-03-31,parliament_report,382
2024-03-31,reclassification,11293
2024-03-31,briefingt,108097
2024-03-31,parliament_committee_deputy,271
2024-03-31,hospitalityq,23329
2024-03-31,wrongdoing,51
2024-03-31,hospitalityq_nil,3394
2024-03-31,parliament_committee,281
2024-03-31,contractsa,403
2024-03-30,reclassification_nil,878
2024-03-30,contractsa,403
2024-03-30,briefingt,108097
2024-03-30,ati_all,172039
2024-03-30,travelq,97095
2024-03-30,travela,495
2024-03-30,dac,3002
2024-03-30,travelq_nil,2026
2024-03-30,contracts_nil,76
2024-03-30,hospitalityq,23329
2024-03-30,grants_nil,172
2024-03-30,grants,984352
2024-03-30,reclassification,11293
2024-03-30,hospitalityq_nil,3394
2024-03-30,qpnotes,5298
2024-03-30,ati_nil,3284
2024-03-30,parliament_committee_deputy,271
2024-03-30,parliament_committee,281
2024-03-30,contracts,1059968
2024-03-30,parliament_report,382
2024-03-30,adminaircraft,20
2024-03-30,transition,70
2024-03-30,wrongdoing,51
2024-03-30,transition_deputy,49
2024-03-29,hospitalityq,23329
2024-03-29,parliament_committee_deputy,271
2024-03-29,contractsa,403
2024-03-29,contracts_nil,76
2024-03-29,dac,3002
2024-03-29,contracts,1059968
2024-03-29,wrongdoing,51
2024-03-29,grants_nil,172
2024-03-29,grants,984352
2024-03-29,ati_all,172005
2024-03-29,adminaircraft,20
2024-03-29,parliament_report,382
2024-03-29,travelq_nil,2026
2024-03-29,transition,70
2024-03-29,travelq,97095
2024-03-29,reclassification_nil,878
2024-03-29,transition_deputy,48
2024-03-29,ati_nil,3284
2024-03-29,briefingt,108010
2024-03-29,travela,495
2024-03-29,reclassification,11293
2024-03-29,parliament_committee,280
2024-03-29,qpnotes,5298
2024-03-29,hospitalityq_nil,3394
2024-03-28,ati_all,171858
2024-03-28,hospitalityq_nil,3385
2024-03-28,reclassification_nil,878
2024-03-28,parliament_report,382
2024-03-28,transition_deputy,48
2024-03-28,wrongdoing,51
2024-03-28,travelq_nil,2024
2024-03-28,grants_nil,172
2024-03-28,hospitalityq,23298
2024-03-28,travelq,96548
2024-03-28,ati_nil,3243
2024-03-28,adminaircraft,20
2024-03-28,contractsa,403
2024-03-28,parliament_committee_deputy,270
2024-03-28,transition,70
2024-03-28,travela,493
2024-03-28,reclassification,11293
2024-03-28,contracts_nil,76
2024-03-28,parliament_committee,280
2024-03-28,briefingt,106963
2024-03-28,contracts,1059900
2024-03-28,qpnotes,5298
2024-03-28,grants,984352
2024-03-28,dac,3002
2024-03-27,dac,3002
2024-03-27,contracts_nil,76
2024-03-27,contractsa,403
2024-03-27,adminaircraft,20
2024-03-27,travelq_nil,2024
2024-03-27,parliament_committee_deputy,270
2024-03-27,transition,70
2024-03-27,hospitalityq,23271
2024-03-27,parliament_committee,279
2024-03-27,contracts,1060172
2024-03-27,travelq,96327
2024-03-27,qpnotes,5298
2024-03-27,grants_nil,172
2024-03-27,ati_all,171793
2024-03-27,grants,984353
2024-03-27,reclassification,11293
2024-03-27,ati_nil,3238
2024-03-27,reclassification_nil,878
2024-03-27,hospitalityq_nil,3378
2024-03-27,parliament_report,382
2024-03-27,transition_deputy,48
2024-03-27,wrongdoing,51
2024-03-27,briefingt,106704
2024-03-27,travela,493
2024-03-26,transition,70
2024-03-26,contracts_nil,76
2024-03-26,reclassification,11293
2024-03-26,travela,493
2024-03-26,reclassification_nil,878
2024-03-26,dac,3002
2024-03-26,parliament_report,382
2024-03-26,ati_all,171729
2024-03-26,parliament_committee,279
2024-03-26,transition_deputy,48
2024-03-26,travelq_nil,2023
2024-03-26,travelq,96315
2024-03-26,briefingt,106552
2024-03-26,ati_nil,3238
2024-03-26,contracts,1060172
2024-03-26,grants,984353
2024-03-26,contractsa,403
2024-03-26,adminaircraft,20
2024-03-26,grants_nil,172
2024-03-26,parliament_committee_deputy,270
2024-03-26,wrongdoing,48
2024-03-26,hospitalityq_nil,3375
2024-03-26,qpnotes,5298
2024-03-26,hospitalityq,23268
2024-03-25,travelq_nil,2021
2024-03-25,qpnotes,5298
2024-03-25,briefingt,106331
2024-03-25,wrongdoing,48
2024-03-25,ati_nil,3238
2024-03-25,grants_nil,172
2024-03-25,hospitalityq_nil,3373
2024-03-25,transition,70
2024-03-25,transition_deputy,48
2024-03-25,parliament_committee,279
2024-03-25,hospitalityq,23261
2024-03-25,travela,493
2024-03-25,travelq,96226
2024-03-25,reclassification,11293
2024-03-25,parliament_committee_deputy,270
2024-03-25,contracts,1060250
2024-03-25,parliament_report,382
2024-03-25,reclassification_nil,878
2024-03-25,ati_all,171575
2024-03-25,contractsa,403
2024-03-25,contracts_nil,76
2024-03-25,adminaircraft,20
2024-03-25,dac,3002
2024-03-25,grants,984353
2024-03-24,dac,3002
2024-03-24,travela,493
2024-03-24,transition_deputy,48
2024-03-24,parliament_committee_deputy,270
2024-03-24,contracts,1060264
2024-03-24,ati_all,171575
2024-03-24,hospitalityq,23261
2024-03-24,travelq,96226
2024-03-24,reclassification,11293
2024-03-24,contractsa,403
2024-03-24,ati_nil,3238
2024-03-24,parliament_report,382
2024-03-24,hospitalityq_nil,3373
2024-03-24,transition,70
2024-03-24,briefingt,106331
2024-03-24,reclassification_nil,878
2024-03-24,grants_nil,172
2024-03-24,parliament_committee,279
2024-03-24,travelq_nil,2021
2024-03-24,wrongdoing,48
2024-03-24,adminaircraft,20
2024-03-24,grants,984353
2024-03-24,contracts_nil,76
2024-03-24,qpnotes,5298
2024-03-23,parliament_committee_deputy,269
2024-03-23,ati_all,171575
2024-03-23,ati_nil,3238
2024-03-23,transition_deputy,48
2024-03-23,travela,493
2024-03-23,reclassification,11293
2024-03-23,briefingt,106331
2024-03-23,reclassification_nil,878
2024-03-23,hospitalityq_nil,3373
2024-03-23,wrongdoing,48
2024-03-23,contracts,1060264
2024-03-23,parliament_report,381
2024-03-23,hospitalityq,23261
2024-03-23,qpnotes,5298
2024-03-23,dac,3002
2024-03-23,contracts_nil,76
2024-03-23,parliament_committee,279
2024-03-23,transition,70
2024-03-23,adminaircraft,20
