year_annee,month_mois,jurisdiction,downloads_telechargements
2025,5,federal,52700
2025,5,provincial,10276
2025,5,municipal,806
2025,4,federal,62801
2025,4,provincial,12919
2025,4,municipal,1229
2025,3,federal,70679
2025,3,provincial,13227
2025,3,municipal,1408
2025,2,federal,60128
2025,2,provincial,11310
2025,2,municipal,1170
2025,1,federal,66041
2025,1,provincial,11457
2025,1,municipal,1001
2024,12,federal,48812
2024,12,provincial,8467
2024,12,municipal,801
2024,11,federal,61913
2024,11,provincial,11662
2024,11,municipal,1267
2024,10,federal,71688
2024,10,provincial,11814
2024,10,municipal,1358
2024,9,federal,56104
2024,9,provincial,7958
2024,9,municipal,879
2024,8,federal,55599
2024,8,provincial,2992
2024,8,municipal,398
2024,7,federal,54356
2024,7,provincial,4346
2024,7,municipal,416
2024,6,federal,58884
2024,6,provincial,7945
2024,6,municipal,923
