year,month,jurisdiction,Open Maps Views
2022,1,federal,2836
2022,1,provincial,170
2022,2,federal,2836
2022,2,provincial,170
2022,3,federal,6578
2022,3,provincial,410
2022,4,federal,5037
2022,4,provincial,485
2022,5,federal,4886
2022,5,provincial,468
2022,6,federal,5404
2022,6,provincial,491
2022,7,federal,4689
2022,7,provincial,458
2022,8,federal,4989
2022,8,provincial,538
2022,9,federal,5341
2022,9,provincial,583
2022,10,federal,5556
2022,10,provincial,651
2022,11,federal,6769
2022,11,provincial,628
2022,12,federal,4565
2022,12,provincial,434
2023,1,federal,7278
2023,1,provincial,594
2023,2,federal,7236
2023,2,provincial,527
2023,3,federal,7437
2023,3,provincial,617
2023,4,federal,6591
2023,4,provincial,553
2023,5,federal,7809
2023,5,provincial,805
2023,6,federal,6758
2023,6,provincial,834
2023,8,federal,5082
2023,8,provincial,851
2023,9,federal,7086
2023,9,provincial,1030
2023,10,federal,8461
2023,10,provincial,1001
2023,11,federal,9149
2023,11,provincial,861
2023,12,federal,5666
2023,12,provincial,789
2024,1,federal,7959
2024,1,provincial,1175
2024,2,federal,8395
2024,2,provincial,1176
2024,3,federal,12694
2024,3,provincial,3547
2024,4,federal,12460
2024,4,provincial,3920
2024,5,federal,12370
2024,5,provincial,4747
2024,6,federal,9795
2024,6,provincial,3505
2024,7,federal,11237
2024,7,provincial,1982
2024,8,federal,10978
2024,8,provincial,1835
2024,9,federal,13600
2024,9,provincial,3294
2024,10,federal,14598
2024,10,provincial,5024
2025,1,federal,14235
2025,1,provincial,5132
2025,2,federal,13694
2025,2,provincial,4643
2025,3,federal,16683
2025,3,provincial,5156
2025,4,federal,17587
2025,4,provincial,4993
2025,5,federal,12917
2025,5,provincial,5801
2025,6,federal,12168
2025,6,provincial,5658
2025,7,federal,13127
2025,7,provincial,5941
2025,8,federal,12149
2025,8,provincial,7589
2025,9,federal,14315
2025,9,provincial,6025
2025,10,federal,13754
2025,10,provincial,4520
2025,11,federal,15958
2025,11,provincial,5816
2025,12,federal,11796
2025,12,provincial,4735
2026,1,federal,13515
2026,1,provincial,5541
2026,2,federal,14310
2026,2,provincial,4869
2026,3,federal,14347
2026,3,provincial,5201
2026,4,federal,12478
2026,4,provincial,4287
2026,5,federal,10540
2026,5,provincial,4290
2026,6,federal,10972
2026,6,provincial,4265
2026,7,federal,4094
2026,7,provincial,1429
2026,8,federal,23
2026,8,provincial,1
