year_annee,month_mois,jurisdiction,visits_visites
2025,6,federal,189654
2025,6,provincial,64883
2025,6,municipal,4814
2025,5,federal,193519
2025,5,provincial,65697
2025,5,municipal,5153
2025,4,federal,272208
2025,4,provincial,85182
2025,4,municipal,7841
2025,3,federal,253223
2025,3,provincial,79079
2025,3,municipal,7164
2025,2,federal,223588
2025,2,provincial,66110
2025,2,municipal,6331
2025,1,federal,241337
2025,1,provincial,71025
2025,1,municipal,6057
2024,12,federal,185020
2024,12,provincial,51469
2024,12,municipal,4994
2024,11,federal,227133
2024,11,provincial,60581
2024,11,municipal,6098
2024,10,federal,251574
2024,10,provincial,69363
2024,10,municipal,6668
2024,9,federal,192953
2024,9,provincial,43937
2024,9,municipal,4041
2024,8,federal,145383
2024,8,provincial,16048
2024,8,municipal,1875
2024,7,federal,141976
2024,7,provincial,19129
2024,7,municipal,1946
