Page_URL,Downloads,day
open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b/resource/369f6f34-148a-42ed-b581-8c164e941a89,153.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,96.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/02e85d01-ee78-4c4b-9d8f-56b61b8142ce,69.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,45.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/fbfda891-5327-4e01-927e-0e0dd580d304,44.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/ea639e28-c0fc-48bf-b5dd-b8899bd43072,39.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/a2f5faf4-07fe-4a3c-9bd3-62bbf11a426f,38.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/c1d860a2-e451-4df9-86d0-70c8699600e0,37.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,36.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/28b9a549-2b64-4c40-8abe-e2ef3d29daa1,33.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee,31.0,"Dec 1, 2025"
ouvert.canada.ca/data/fr/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,29.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/ceb1ab5a-7d7c-4491-a2f7-560c47c4e22f/resource/648f0b3b-8d21-4373-94b4-72847dbf79a1,25.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/f5c8a5a0-354d-455a-99ab-8276aa38032e/resource/e5dcaf48-87d6-4ce1-b17a-35607916b640,23.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/ceb1ab5a-7d7c-4491-a2f7-560c47c4e22f,21.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/adad580f-76b0-4502-bd05-20c125de9116,19.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/cab4826f-4a19-41f8-9041-3f02a1f6d966,18.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/78dc45c6-a4ad-4914-b51a-b4fc1e0b296d,17.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/f5c8a5a0-354d-455a-99ab-8276aa38032e,17.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,16.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee/resource/b505b9bc-d375-4525-af39-afdf25639acf,15.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/38ef4d26-b838-447b-b874-9233a0884cf0,14.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/094c9b54-a1ca-4aad-935e-2541e5a23b3f/resource/78344459-0914-49d9-9210-26ebb4337017,13.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5,13.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/9b34e712-513f-44e9-babf-9df4f7256550,13.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda/resource/5582034d-8f89-49d5-8597-483d628078a1,13.0,"Dec 1, 2025"
ouvert.canada.ca/data/fr/dataset/3d282116-e556-400c-9306-ca1a3cada77f,13.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5/resource/945045fa-2de0-47d4-aad2-144d69467824,13.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/91ed76b4-a1a2-4f87-9c4c-59cd64f7a9de,13.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/742b4dcb-b834-46c9-93b7-6878bb0ae295/resource/a56fc93a-c40c-458f-8e30-f4156cb6fc33,12.0,"Dec 1, 2025"
ouvert.canada.ca/data/fr/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b/resource/369f6f34-148a-42ed-b581-8c164e941a89,12.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/791de1ec-7fc8-48f1-a4e4-8bbaebc67080,11.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/ee1580ab-a23d-4f86-a09b-79763677eb47/resource/f1ba2faa-ff10-4526-815a-c57b99eef1bb,11.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/29122e72-5762-25f0-732f-c6377f11763f,11.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/a883eb14-0c0e-45c4-b8c4-b54c4a819edb,11.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/432527ab-7aac-45b5-81d6-7597107a7013/resource/1d15a62f-5656-49ad-8c88-f40ce689d831,11.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/ee1580ab-a23d-4f86-a09b-79763677eb47,11.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/7dffedc4-23fa-440c-a36d-adf5a6cc09f1,10.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/6abd20d4-7a1c-4b38-baa2-9525d0bb2fd2,10.0,"Dec 1, 2025"
ouvert.canada.ca/data/fr/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/a2f5faf4-07fe-4a3c-9bd3-62bbf11a426f,10.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/a5fec3bd-e1e4-4a98-bf0d-1b0e8735ec7a,10.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/adad580f-76b0-4502-bd05-20c125de9116/resource/9da94d63-b178-4a64-aeb3-b6a3bd721ad2,10.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/69c68f22-8a2a-43d1-8f4e-4017e3ffebba/resource/1ffc4a5e-e41b-48c7-929e-633d023ef8dc,10.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/4382d531-04ed-46b7-a10b-35df6fe36d56,10.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/800106c1-0b08-401e-8be2-ac45d62e662e,10.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/2916fad5-ebcc-4c86-b0f3-4f619b29f412/resource/15eeafa2-c331-44e7-b37f-d0d54a51d2eb,9.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/f5c8a5a0-354d-455a-99ab-8276aa38032e/resource/f352898d-87bd-407e-873d-d9981c5c3cba,9.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/c1b0f627-8c29-427c-ab73-33968ad9176e,9.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/0a7918f0-6e8a-433b-9ea2-60e2b8674cb5,9.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/a883eb14-0c0e-45c4-b8c4-b54c4a819edb/resource/12c03de6-c3f7-4f5f-bb5c-d479f2332842,9.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/5d87eeb6-5305-4a0e-bc1d-fdf96e691749,9.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/2c53729a-2453-4633-92f3-6876a45f8bc4/resource/ce5720af-8ca9-4992-9158-6d34ece4b6a0,8.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/0a7619fd-2ffe-44b5-9027-3dfcec0866fd,8.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/79fdad93-9025-49ad-ba16-c26d718cc070/resource/4d86e84b-0cc8-45a3-9274-119f8313907b,8.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/ac988c2a-ce33-4e8e-bf64-2c052c50892f/resource/caabbfe6-468a-45a7-aa5f-e98d8e6ce711,8.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995,8.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/742b4dcb-b834-46c9-93b7-6878bb0ae295,8.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/2909a648-5753-4924-878a-b069392d9cde,8.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/91ed76b4-a1a2-4f87-9c4c-59cd64f7a9de/resource/c6d860e4-8db0-43f5-b3fd-7610178ee54a,8.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda/resource/d1c1f4f3-2d7f-4e02-9a79-7af98209c2f3,8.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/a1acb126-9ce8-40a9-b889-5da2b1dd20cb,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/dc343c43-a592-4a27-8ee7-c77df56afb34,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/2d681b51-7c51-4044-bcf0-3367c68e9c0a/resource/35d2ce8d-a3b3-4745-92f5-68a462902cf7,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/d22354e8-cb01-5262-aed5-1de48d1ffb0a,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/b1126a07-fd85-4d56-8395-143aba1747a4/resource/290f3412-e6b7-4811-b738-c360e11d22ef,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0/resource/5efa3920-83f6-4108-bb51-db2456e7b37c,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/b0488a2e-e784-4b2d-aa88-3a4829b1d708/resource/062e1ac9-62a6-40fb-90e6-2ab684a90295,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/7f245e4d-76c2-4caa-951a-45d1d2051333,7.0,"Dec 1, 2025"
ouvert.canada.ca/data/fr/dataset/be36f85e-e419-4978-9c34-cb5795622595/resource/eb960b47-a500-4353-a54c-b7311a8042b9,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/fc60c829-506f-42c5-bd4e-9b72a0aac687,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee/resource/d3702eb4-5ef4-412f-86fd-219e6b8f5fdc,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/b4e2b302-9bc6-4b33-b880-6496f8cef0f1,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/f82f66f2-a22b-4511-bccf-e1d74db39ae5,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995/resource/f0211f09-17f6-42ad-8bbf-7e509930da26,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/79fdad93-9025-49ad-ba16-c26d718cc070,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/c7413d9f-112e-4a26-bbd1-ae2711856629/resource/7a238b1a-9a7e-4383-b068-4ecce7daad45,7.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/360024f2-17e9-4558-bfc1-3616485d65b9,6.0,"Dec 1, 2025"
ouvert.canada.ca/data/fr/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/f995383c-800e-46dd-92fa-a06ec7a9a706,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/58b8e20f-c55c-4482-8843-2d18bbfe00fd,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/3b070a33-c13e-4a1f-a5ce-63e3a4d616bc,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/43c4a4ea-6da8-4b02-8f07-986caafd9223,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/d0cdef71-9343-46c3-b2e7-c1ded5907686/resource/51e0db22-b5ef-40b8-b260-eca19d6564fe,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/809e4442-983a-4943-a2a0-382ba39c227a/resource/4d8f7667-cadd-4cb0-a031-cac92d620e69,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/91ed76b4-a1a2-4f87-9c4c-59cd64f7a9de/resource/52af898b-9901-4239-b130-3aa25e5b3f14,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/1a09c5c1-3554-4b70-9e53-6322a72ec7d4,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/fb7dd0e4-2feb-4fc1-96e7-aa626109f09c/resource/fd56c29b-dbbb-4128-9e6b-b3711b5e3296,6.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/4c6c515f-7c44-4bb6-ab56-c5f79f75f705,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/6abd20d4-7a1c-4b38-baa2-9525d0bb2fd2/resource/5870de7c-86fe-4d05-8d73-cd412e12fdeb,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/ee1580ab-a23d-4f86-a09b-79763677eb47/resource/baddbc7e-4381-4af1-935f-454b53c32483,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/4dbb9bff-022d-4aab-a11d-0a2e1b0afaad/resource/1ff8f1b6-02a8-425a-bd0b-af9495d2e53c,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/976bb4f8-2b63-4150-910c-1f8e094cc83a/resource/8620a7fd-2891-43b3-bd8d-2b5324702cfc,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/a4b190fe-e090-4e6d-881e-b87956c07977,5.0,"Dec 1, 2025"
ouvert.canada.ca/data/fr/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/360024f2-17e9-4558-bfc1-3616485d65b9/resource/f69beec6-4ca6-43e6-96c2-3a87e9ad7c40,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/29122e72-5762-25f0-732f-c6377f11763f/resource/316c9231-6808-4318-862b-ae3696705410,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/873cfcb0-1c9b-4a48-a366-076697069bb9,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/b6567c5c-8339-4055-99fa-63f92114d9e4/resource/8556ef2f-dfa5-4c96-b864-95cd0c0dd52e,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/3d282116-e556-400c-9306-ca1a3cada77f,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/bd5dab03-02dc-4542-8e01-c04dca9a0337,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/78e7d63b-6f83-bbc5-64ac-249b34b0ea95/resource/0e8a3ef4-ec96-46ea-88de-5bf6212784e2,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/423655e0-2bb8-4dc2-a1ec-6d7b25915d18/resource/e883afb5-01cf-4091-9fb3-1a94af4fc0f4,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/f0d12b41-54dc-4784-ad2b-83dffed2ab84/resource/3391238b-f537-4231-8572-493b9392565b,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/a4b190fe-e090-4e6d-881e-b87956c07977/resource/73cdfa25-1a43-4897-a628-636b4ae6edba,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/240f1dbc-a3b5-46b1-9b5f-d0d3cbec9378/resource/62473d4f-d38c-4b35-8adf-784da82bf516,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/16b7eeb0-9a97-46c0-af3d-7f2114dedf5e,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/791de1ec-7fc8-48f1-a4e4-8bbaebc67080/resource/a709204d-5d3f-4f35-8414-a567b37ec872,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/b6cbcf4d-f763-4924-a2fb-8cc4a06e3de4/resource/450f7e37-73e6-4ec4-a5dc-7cc28411f828,5.0,"Dec 1, 2025"
open.canada.ca/data/en/dataset/e8a3fc19-6016-4c90-a5c0-eb35233d708e/resource/f6adc550-4045-4485-9a65-e13038357aae,5.0,"Dec 1, 2025"
