day,Downloads,dataset_id,resource_id,Dataset_creation,Resource_creation,Resource_modification,dataset_title,titre_du_jeu_de_donnees,resource_title,titre_du_ressource,institution_EN,institution_FR
"Feb 1, 2026",1.0,00f182a4-6159-422b-9e3c-37373b42500e,No resource,2018-06-27,2018-06-27,2024-11-13,Distribution of Physician Payments and Services per Patient,Répartition des paiements et des services médicaux par patient,No resources covered,Aucune ressource couverte,Government of Alberta , Gouvernement de l'Alberta
"Feb 1, 2026",1.0,0186868b-a04d-4a0e-962e-bdfbac51bfb3,08bbc162-d130-4736-94fc-677e2c24483e,2016-09-23,2016-12-01,2024-11-22,"[ARCHIVED] Immigration, Refugees and Citizenship Canada Overview – Quarterly IRCC Updates ","[ARCHIVÉ] Aperçu d’Immigration, Réfugiés et Citoyenneté Canada – Mises à jour trimestrielles d’IRCC ",[ARCHIVED] Permanent and Temporary Resident Applications Overview,[ARCHIVÉ] Survol des demandes de résidence permanente et temporaire,"Immigration, Refugees and Citizenship Canada "," Immigration, Réfugiés et Citoyenneté Canada"
"Feb 1, 2026",2.0,055919c2-101e-4329-bfd7-1d0c333c0e62,No resource,2017-03-29,2017-03-29,2021-11-24,Indexes of the National Topographic System of Canada,Index du système national de référence cartographique du Canada,No resources covered,Aucune ressource couverte,Natural Resources Canada , Ressources naturelles Canada
"Feb 1, 2026",2.0,055919c2-101e-4329-bfd7-1d0c333c0e62,de8a365d-6326-4013-a661-7647e5996c55,2017-03-29,2021-11-24,2021-11-24,Indexes of the National Topographic System of Canada,Index du système national de référence cartographique du Canada,Pre-packaged SHAPE files,Fichiers SHAPE pré-emballés,Natural Resources Canada , Ressources naturelles Canada
"Feb 1, 2026",1.0,056e9aaf-60ec-4af0-9684-f937724c7b09,a6134735-0338-46e1-a4ba-5ddde82c505f,2024-05-22,2026-01-14,2026-01-14,"Population estimates, July 1, by census division, 2021 boundaries","Estimations de la population, 1er juillet, selon la division de recensement, limites de 2021",Dataset,Ensembles de données,Statistics Canada , Statistique Canada
"Feb 1, 2026",1.0,05a9e718-6810-4e73-8bb9-5955efeb91a0,92bbc3d3-b28a-460b-ac3a-ff2437e30700,2021-06-30,2025-11-12,2025-11-12,Food inspections and offenders,Inspections des aliments et contrevenants,Offenders,Contrevenants,Government and Municipalities of Québec , Gouvernement et municipalités du Québec
"Feb 1, 2026",1.0,05b3abd0-e70f-4b3b-a9c5-acc436bd15b6,19375510-2919-480c-8f8c-e8721d285b72,2025-07-29,2025-07-29,2025-07-29,2023 List of charities,Liste des organismes de bienfaisance 2023,List of charities data dictionary,List of charities data dictionary,Canada Revenue Agency , Agence du revenu du Canada
"Feb 1, 2026",1.0,05b3abd0-e70f-4b3b-a9c5-acc436bd15b6,2a7e1d1f-83e8-4ad9-b57b-7506837fcbe5,2025-07-29,2025-07-29,2025-10-06,2023 List of charities,Liste des organismes de bienfaisance 2023,Codes Lists,Listes de codes,Canada Revenue Agency , Agence du revenu du Canada
"Feb 1, 2026",1.0,05b3abd0-e70f-4b3b-a9c5-acc436bd15b6,4cf7d8fa-221a-4934-a423-82dbeac7462b,2025-07-29,2025-07-29,2025-07-29,2023 List of charities,Liste des organismes de bienfaisance 2023,General information ,Information générale,Canada Revenue Agency , Agence du revenu du Canada
"Feb 1, 2026",3.0,05b3abd0-e70f-4b3b-a9c5-acc436bd15b6,No resource,2025-07-29,2025-07-29,2025-10-07,2023 List of charities,Liste des organismes de bienfaisance 2023,No resources covered,Aucune ressource couverte,Canada Revenue Agency , Agence du revenu du Canada
