day,Visits,dataset_id,resource_id,Dataset_creation,Resource_creation,Resource_modification,dataset_title,titre_du_jeu_de_donnees,resource_title,titre_du_ressource,institution_EN,institution_FR
"Jan 1, 2026",1.0,000183ed-8864-42f0-ae43-c4313a860720,0ec35a56-cbb1-4dcb-bdcf-85da21490ac4,2019-06-07,2025-02-20,2025-02-20,"Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)",ArcMap project file of the 900A web map,Projet ArcMap de la cartographie web de 900A,Natural Resources Canada , Ressources naturelles Canada
"Jan 1, 2026",3.0,000183ed-8864-42f0-ae43-c4313a860720,No resource,2019-06-07,2019-06-07,2025-02-20,"Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)",No resources covered,Aucune ressource couverte,Natural Resources Canada , Ressources naturelles Canada
"Jan 1, 2026",1.0,000183ed-8864-42f0-ae43-c4313a860720,b1e87e17-c2f9-41d3-ad6f-de5728609a12,2019-06-07,2025-02-20,2025-02-20,"Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)",Vector dataset of the 900A map,Jeu de données vectorielles de la carte 900A,Natural Resources Canada , Ressources naturelles Canada
"Jan 1, 2026",2.0,000183ed-8864-42f0-ae43-c4313a860720,eb3b87b1-355d-4a99-8849-b41399773036,2019-06-07,2025-02-20,2025-02-20,"Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)","Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)",Natural Resources Canada , Ressources naturelles Canada
"Jan 1, 2026",1.0,000fe5aa-1d77-42d1-bfe7-458c51dacfef,2b5853e4-41b4-4858-86dd-38012e30d5b8,2016-09-23,2024-07-04,2025-12-16,Historical Border Wait Times – Land Mode,Historique du temps d’attente à la frontière – Mode terrestre,Historical Border Wait Times - 2019-04-01 to 2025-10-31,Historique de temps d'attente à la frontière - 2019-04-01 à 2025-10-31,Canada Border Services Agency , Agence des services frontaliers du Canada
"Jan 1, 2026",6.0,000fe5aa-1d77-42d1-bfe7-458c51dacfef,No resource,2016-09-23,2016-09-23,2025-12-18,Historical Border Wait Times – Land Mode,Historique du temps d’attente à la frontière – Mode terrestre,No resources covered,Aucune ressource couverte,Canada Border Services Agency , Agence des services frontaliers du Canada
"Jan 1, 2026",2.0,001022b1-3992-4e17-9d2b-37eb12986650,5adc8dee-8dfa-4444-abc2-3c1b2f03f1e9,2025-11-25,2025-11-25,2025-11-25,2025—Report of the Auditor General of Canada—Canada-Wide Early Learning and Child Care System,2025 — Rapport de la vérificatrice générale du Canada — Le système pancanadien d’apprentissage et de garde des jeunes enfants,2025—Report of the Auditor General of Canada—Canada-Wide Early Learning and Child Care System,2025 — Rapport de la vérificatrice générale du Canada — Le système pancanadien d’apprentissage et de garde des jeunes enfants,Office of the Auditor General of Canada , Bureau du vérificateur général du Canada
"Jan 1, 2026",1.0,0026eb81-62ff-40bd-9fda-414d2db7ef45,No resource,2018-06-27,2018-06-27,2023-09-25,"Teen pregnancy, by pregnancy outcomes, females aged 15 to 19","Grossesse chez l'adolescente, selon les issues de la grossesse, femmes de 15 à 19 ans",No resources covered,Aucune ressource couverte,Statistics Canada , Statistique Canada
"Jan 1, 2026",1.0,00311a21-c6da-4b3d-98be-7cdea45af4bb,f4f8c670-10ac-4984-b934-ec5add600745,2025-05-28,2025-05-28,2025-05-28,HMS Erebus Underwater Archaeological Surveys 2015 and 2016,Fouilles archéologiques subaquatiques du HMS Erebus 2015 et 2016,HMS Erebus Underwater Archaeological Surveys 2015 and 2016,Fouilles archéologiques subaquatiques du HMS Erebus 2015 et 2016,Parks Canada , Parcs Canada
"Jan 1, 2026",2.0,0032ce54-c5dd-4b66-99a0-320a7b5e99f2,164ae5ee-8ba2-447e-a443-0ea42a9b10bc,2016-09-23,2016-10-24,2016-10-24,Federal Corporations,Sociétés de régime fédéral,Federal Corporations,Sociétés de régime fédéral,"Innovation, Science and Economic Development Canada "," Innovation, Sciences et Développement économique Canada"
