Page_URL,Visits,day
search.open.canada.ca/opendata/,11424.0,"Jul 1, 2026"
open.canada.ca/en/open-government-licence-canada,817.0,"Jul 1, 2026"
open.canada.ca/en,522.0,"Jul 1, 2026"
rechercher.ouvert.canada.ca/donneesouvertes/,345.0,"Jul 1, 2026"
search.open.canada.ca/grants/,283.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,230.0,"Jul 1, 2026"
search.open.canada.ca/contracts/,222.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5/resource/945045fa-2de0-47d4-aad2-144d69467824,135.0,"Jul 1, 2026"
search.open.canada.ca/data/,122.0,"Jul 1, 2026"
www.cic.gc.ca/grant-octrois/grants-subventions-eng.aspx,104.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5,98.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,90.0,"Jul 1, 2026"
open.canada.ca/en/search/ati,67.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/adad580f-76b0-4502-bd05-20c125de9116,63.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee,56.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/1f8c45b5-443b-415c-9cc1-6fab98455e98,55.0,"Jul 1, 2026"
open.canada.ca/en/proactive-disclosure,52.0,"Jul 1, 2026"
ouvert.canada.ca/data/fr/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,48.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995,48.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/6abd20d4-7a1c-4b38-baa2-9525d0bb2fd2,46.0,"Jul 1, 2026"
ouvert.canada.ca/fr,45.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/06512c1b-d4a7-413f-bc1e-fc38de9f9aca,44.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/3a28dd68-e061-46f4-824f-053ad292ad89,43.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/791de1ec-7fc8-48f1-a4e4-8bbaebc67080,37.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,36.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,36.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/7f5b2c8f-f3e8-47b2-a5b6-0f736f3613eb,32.0,"Jul 1, 2026"
search.open.canada.ca/travel/,31.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/094c9b54-a1ca-4aad-935e-2541e5a23b3f,31.0,"Jul 1, 2026"
rechercher.ouvert.canada.ca/subventions/,30.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/c7413d9f-112e-4a26-bbd1-ae2711856629,30.0,"Jul 1, 2026"
search.open.canada.ca/briefing_titles/,29.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/adad580f-76b0-4502-bd05-20c125de9116/resource/9da94d63-b178-4a64-aeb3-b6a3bd721ad2,28.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/2916fad5-ebcc-4c86-b0f3-4f619b29f412/resource/15eeafa2-c331-44e7-b37f-d0d54a51d2eb,27.0,"Jul 1, 2026"
open.canada.ca/data/en/dataset/8c387c19-9411-c58c-89d3-9e222ea3f50a,26.0,"Jul 1, 2026"
search.open.canada.ca/qpnotes/,26.0,"Jul 1, 2026"
