Page_URL,Visits,day
search.open.canada.ca/opendata/,11207.0,"Jun 1, 2026"
rechercher.ouvert.canada.ca/contracts/,1629.0,"Jun 1, 2026"
search.open.canada.ca/grants/,768.0,"Jun 1, 2026"
open.canada.ca/en/open-government-licence-canada,696.0,"Jun 1, 2026"
open.canada.ca/en,572.0,"Jun 1, 2026"
search.open.canada.ca/contracts/,464.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97,261.0,"Jun 1, 2026"
search.open.canada.ca/data/,230.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5/resource/945045fa-2de0-47d4-aad2-144d69467824,229.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/b27ec3ef-7338-4e76-a6fd-128339a92df5,222.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109,207.0,"Jun 1, 2026"
open.canada.ca/en/proactive-disclosure,207.0,"Jun 1, 2026"
open.canada.ca/data/en/info/d9dbefff-89d7-4618-a824-8884e52f26cb,181.0,"Jun 1, 2026"
open.canada.ca/en/search/ati,152.0,"Jun 1, 2026"
rechercher.ouvert.canada.ca/travelq/,139.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/d9dbefff-89d7-4618-a824-8884e52f26cb/resource/37bbd554-125c-4705-b869-f26e7654f780,121.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/7f5b2c8f-f3e8-47b2-a5b6-0f736f3613eb,119.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,118.0,"Jun 1, 2026"
www.cic.gc.ca/grant-octrois/grants-subventions-eng.aspx,111.0,"Jun 1, 2026"
rechercher.ouvert.canada.ca/donneesouvertes/,106.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90115b00-f9b8-49e8-afa3-b4cff8facaee,104.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109/resource/e1ffee62-58cb-4e3e-b359-115c658388ad,90.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/957782bf-847c-4644-a757-e383c0057995,81.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/adad580f-76b0-4502-bd05-20c125de9116,75.0,"Jun 1, 2026"
search.open.canada.ca/travel/,72.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/b0488a2e-e784-4b2d-aa88-3a4829b1d708,71.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/ceb1ab5a-7d7c-4491-a2f7-560c47c4e22f,69.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/f5c8a5a0-354d-455a-99ab-8276aa38032e,69.0,"Jun 1, 2026"
rechercher.ouvert.canada.ca/reclassifications/,67.0,"Jun 1, 2026"
open.canada.ca/en/using-open-data,66.0,"Jun 1, 2026"
search.open.canada.ca/briefing_titles/,65.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/809e4442-983a-4943-a2a0-382ba39c227a,60.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/791de1ec-7fc8-48f1-a4e4-8bbaebc67080,59.0,"Jun 1, 2026"
ouvert.canada.ca/data/fr/dataset/dfa4daf1-669e-4514-82cd-982f27707ed0,59.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/6abd20d4-7a1c-4b38-baa2-9525d0bb2fd2,58.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/52e4b14b-597a-4ecf-a184-23a6e69b0d57,57.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/593e9165-c6ce-4f9b-b519-03d315f92cd4,57.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,55.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/1b6139bd-ed7e-4043-bc28-ff00e10f3109/resource/86483321-6c76-4a5f-9061-04b9a0a48a8d,52.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/90fed587-1364-4f33-a9ee-208181dc0b97/resource/06512c1b-d4a7-413f-bc1e-fc38de9f9aca,51.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/91ed76b4-a1a2-4f87-9c4c-59cd64f7a9de,50.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/094c9b54-a1ca-4aad-935e-2541e5a23b3f,49.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/f7e5498e-0ad8-4417-85c9-9b8aff9b9eda,49.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/e669ec7d-bb3c-465f-ab77-3d2a58d93461,47.0,"Jun 1, 2026"
open.canada.ca/data/en/dataset/e8a3fc19-6016-4c90-a5c0-eb35233d708e,45.0,"Jun 1, 2026"
