day,Downloads,dataset_id,resource_id,Dataset_creation,Resource_creation,Resource_modification,dataset_title,titre_du_jeu_de_donnees,resource_title,titre_du_ressource,institution_EN,institution_FR
"May 1, 2026",1.0,000183ed-8864-42f0-ae43-c4313a860720,143cb669-9dca-4c97-beda-e7c857b9ab88,2019-06-07,2026-02-27,2026-02-27,"Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)",Vector dataset of the 900A map,Jeu de données vectorielles de la carte 900A,Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",1.0,0032ce54-c5dd-4b66-99a0-320a7b5e99f2,164ae5ee-8ba2-447e-a443-0ea42a9b10bc,2016-09-23,2016-10-24,2016-10-24,Federal Corporations,Sociétés de régime fédéral,Federal Corporations,Sociétés de régime fédéral,"Innovation, Science and Economic Development Canada "," Innovation, Sciences et Développement économique Canada"
"May 1, 2026",1.0,004f6b03-ac84-4c7c-90cb-35949e6260bc,aabce4c7-fbf5-4f36-b49d-9b6f6664b295,2018-01-09,2026-04-30,2026-04-30,Maps of reporting facilities – virtual globe format,Cartes des installations ayant soumis une déclaration – Format de visualisation virtuelle de la Terre,NPRI - 2024.kmz,NPRI - 2024.kmz,Environment and Climate Change Canada , Environnement et Changement climatique Canada
"May 1, 2026",1.0,006771a7-cbe0-f0fc-5aa3-4af1e8d11306,No resource,2022-08-10,2022-08-10,2026-01-28,Wetlands,Terres humides,No resources covered,Aucune ressource couverte,Government of New Brunswick , Gouvernement du Nouveau-Brunswick
"May 1, 2026",2.0,009f9a49-c2d9-4d29-a6d4-1a228da335ce,No resource,2017-02-20,2017-02-20,2026-05-01,Proactive Disclosure - Travel Expenses,Divulgation des frais de voyage,No resources covered,Aucune ressource couverte,Treasury Board of Canada Secretariat , Secrétariat du Conseil du Trésor du Canada
"May 1, 2026",1.0,00a331db-121b-445d-b119-35dbbe3eedd9,No resource,2016-09-23,2016-09-23,2026-04-08,National Broadband Data,Données nationales de large bande,No resources covered,Aucune ressource couverte,"Innovation, Science and Economic Development Canada "," Innovation, Sciences et Développement économique Canada"
"May 1, 2026",1.0,0126c7e2-2a49-52de-9090-69e644f6cec7,555ea6ac-79f3-4087-bf46-9b4ffce02425,2016-09-24,2017-01-26,2017-01-26,"Results of the 33rd Federal Election, September 4, 1984",Résultats de la 33e élection fédérale - Le 4 septembre 1984,Download English PDF through HTTP,Télécharger le fichier en format Anglais PDF via HTTP,Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",1.0,02986ea0-3ab7-4a13-b391-209e535726d9,No resource,2016-09-24,2016-09-24,2026-04-11,"Contractual Obligations (information from Transfer Payment Agreements, Capital Assets, Purchases and Operating Leases), as reported in the Public  Accounts of Canada","Obligations contractuelles (informations sur les accords de paiements de transfert, immobilisations, achats et contrats de location-exploitation), telles que rapportées dans les Comptes publics du Canada",No resources covered,Aucune ressource couverte,Public Services and Procurement Canada , Services publics et Approvisionnement Canada
"May 1, 2026",1.0,03652383-bed9-4170-9a7a-0bdc218ea2bb,4a92ce5f-db27-472e-b755-e2bf0815af14,2023-05-08,2025-07-22,2025-07-22,"Number, percentage and rate of homicide victims, by gender and Indigenous identity","Nombre, pourcentage et taux de victimes d'homicide, selon le genre et l'identité autochtone",Dataset,Ensembles de données,Statistics Canada , Statistique Canada
"May 1, 2026",2.0,05b3abd0-e70f-4b3b-a9c5-acc436bd15b6,No resource,2025-07-29,2025-07-29,2026-04-09,2023 List of charities,Liste des organismes de bienfaisance 2023,No resources covered,Aucune ressource couverte,Canada Revenue Agency , Agence du revenu du Canada
"May 1, 2026",1.0,06022cc0-a31e-4b4c-850d-d4dccda5f3ac,No resource,2016-09-24,2016-09-24,2026-04-30,Database – all data for all years,Base de données – Toutes les données pour toutes les années,No resources covered,Aucune ressource couverte,Environment and Climate Change Canada , Environnement et Changement climatique Canada
"May 1, 2026",1.0,061c8cb7-ca4e-45be-a990-61fce7e7d2dc,No resource,2022-08-10,2022-08-10,2026-04-22,Quebec property assessment rolls,Rôles d'évaluation foncière du Québec,No resources covered,Aucune ressource couverte,Government and Municipalities of Québec , Gouvernement et municipalités du Québec
"May 1, 2026",1.0,061c8cb7-ca4e-45be-a990-61fce7e7d2dc,d006f906-579a-4599-a44c-865e8dcfba4f,2022-08-10,2026-04-22,2026-04-22,Quebec property assessment rolls,Rôles d'évaluation foncière du Québec,Index of the quarterly update of property assessment rolls by municipality,Index de la mise à jour trimestrielle des rôles d’évaluation foncière par municipalité,Government and Municipalities of Québec , Gouvernement et municipalités du Québec
"May 1, 2026",1.0,07653869-f303-46c2-a04e-9ab479b73cbf,0da7755e-038a-4f94-a097-5acbe082a43c,2026-02-12,2026-04-22,2026-04-22,SCANFI v2: the Spatialized CAnadian National Forest Inventory data product,SCANFI v2: Base de données spatialisées de l'inventaire forestier national canadien,"information file: ""_SCANFI_v2_read_me.txt""","fichier d'information: ""_SCANFI_v2_read_me.txt""",Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",1.0,07875f11-c342-4450-bdaa-0cdeaf43c0c9,71a7bcd3-915a-4b1c-89ac-f2e6095ba11e,2016-09-24,2025-07-21,2025-07-21,Crop (corn) heat units,Unités thermiques de croissance (maïs),Data Product Specification (English),Spécifications du produit (Anglais),Agriculture and Agri-Food Canada , Agriculture et Agroalimentaire Canada
"May 1, 2026",1.0,07c42deb-9435-43b9-a416-7ce316f3893d,109682f3-8455-4450-98ce-ba43d78a3b81,2026-03-17,2026-03-17,2026-03-17,Canada’s Energy Future 2026: Energy Supply and Demand Projections to 2050,Le rapport Avenir énergétique du Canada en 2026 – Offre et demande énergétiques à l’horizon 2050,benchmark-prices-2026,prix-de-reference-2026,Canada Energy Regulator , La Régie de l’énergie du Canada
"May 1, 2026",1.0,07c42deb-9435-43b9-a416-7ce316f3893d,4aa7e906-8382-4a91-913c-a6e80078d66a,2026-03-17,2026-03-17,2026-03-17,Canada’s Energy Future 2026: Energy Supply and Demand Projections to 2050,Le rapport Avenir énergétique du Canada en 2026 – Offre et demande énergétiques à l’horizon 2050,electricity-capacity-2026,capacite-d-electricite-2026,Canada Energy Regulator , La Régie de l’énergie du Canada
"May 1, 2026",1.0,07c42deb-9435-43b9-a416-7ce316f3893d,No resource,2026-03-17,2026-03-17,2026-04-30,Canada’s Energy Future 2026: Energy Supply and Demand Projections to 2050,Le rapport Avenir énergétique du Canada en 2026 – Offre et demande énergétiques à l’horizon 2050,No resources covered,Aucune ressource couverte,Canada Energy Regulator , La Régie de l’énergie du Canada
"May 1, 2026",1.0,07c42deb-9435-43b9-a416-7ce316f3893d,b270cc7a-8b28-4c2e-9de4-76bd98e7e815,2026-03-17,2026-03-17,2026-03-17,Canada’s Energy Future 2026: Energy Supply and Demand Projections to 2050,Le rapport Avenir énergétique du Canada en 2026 – Offre et demande énergétiques à l’horizon 2050,primary-demand-2026,demande-d-energie-primaire-2026,Canada Energy Regulator , La Régie de l’énergie du Canada
"May 1, 2026",1.0,07c42deb-9435-43b9-a416-7ce316f3893d,b67e0e60-3200-4330-b2b2-afb7debca8bf,2026-03-17,2026-03-17,2026-03-17,Canada’s Energy Future 2026: Energy Supply and Demand Projections to 2050,Le rapport Avenir énergétique du Canada en 2026 – Offre et demande énergétiques à l’horizon 2050,end-use-demand-2026,demande-finale-d-energie-2026,Canada Energy Regulator , La Régie de l’énergie du Canada
