day,Visits,dataset_id,resource_id,Dataset_creation,Resource_creation,Resource_modification,dataset_title,titre_du_jeu_de_donnees,resource_title,titre_du_ressource,institution_EN,institution_FR
"May 1, 2026",2.0,000183ed-8864-42f0-ae43-c4313a860720,143cb669-9dca-4c97-beda-e7c857b9ab88,2019-06-07,2026-02-27,2026-02-27,"Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)",Vector dataset of the 900A map,Jeu de données vectorielles de la carte 900A,Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",4.0,000183ed-8864-42f0-ae43-c4313a860720,No resource,2019-06-07,2019-06-07,2026-02-27,"Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)",No resources covered,Aucune ressource couverte,Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",1.0,000183ed-8864-42f0-ae43-c4313a860720,ea2caa7b-6cb0-4482-9d85-02457efc6abe,2019-06-07,2026-02-27,2026-02-27,"Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)","Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)",Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",1.0,000183ed-8864-42f0-ae43-c4313a860720,f39421ad-651e-405e-823e-001e13a2566c,2019-06-07,2026-02-27,2026-02-27,"Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)","Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)",Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",1.0,0005301b-624e-4000-8dad-a1a1ac6b46c2,45290e67-6fdf-4254-af99-0089924bd42b,2021-09-14,2024-10-29,2024-10-29,Land Surface Evapotranspiration for Canada's Landmass,Évapotranspiration de la surface terrestre continentale du Canada,Land Surface Evapotranspiration for Canada Landmass,Évapotranspiration de la surface terrestre continentale du Canada,Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",2.0,0005301b-624e-4000-8dad-a1a1ac6b46c2,No resource,2021-09-14,2021-09-14,2024-10-29,Land Surface Evapotranspiration for Canada's Landmass,Évapotranspiration de la surface terrestre continentale du Canada,No resources covered,Aucune ressource couverte,Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",1.0,0005301b-624e-4000-8dad-a1a1ac6b46c2,aa3dadef-bb5e-4c0e-afb7-b2262e0364bf,2021-09-14,2024-10-29,2024-10-29,Land Surface Evapotranspiration for Canada's Landmass,Évapotranspiration de la surface terrestre continentale du Canada,Land Surface Evapotranspiration for Canada Landmass,Évapotranspiration de la surface terrestre continentale du Canada,Natural Resources Canada , Ressources naturelles Canada
"May 1, 2026",1.0,000ec033-1a78-661d-d432-6eb8cf840361,No resource,2022-05-03,2022-05-03,2026-04-17,ThinkFARM GF2 External Workshops and Locations by Year,Translation of ThinkFARM GF2 External Workshops and Locations by Year,No resources covered,Aucune ressource couverte,Government of Nova Scotia , Gouvernment de la Nouvelle-Écosse
"May 1, 2026",2.0,000fe5aa-1d77-42d1-bfe7-458c51dacfef,No resource,2016-09-23,2016-09-23,2025-12-18,Historical Border Wait Times – Land Mode,Historique du temps d’attente à la frontière – Mode terrestre,No resources covered,Aucune ressource couverte,Canada Border Services Agency , Agence des services frontaliers du Canada
"May 1, 2026",3.0,0032ce54-c5dd-4b66-99a0-320a7b5e99f2,164ae5ee-8ba2-447e-a443-0ea42a9b10bc,2016-09-23,2016-10-24,2016-10-24,Federal Corporations,Sociétés de régime fédéral,Federal Corporations,Sociétés de régime fédéral,"Innovation, Science and Economic Development Canada "," Innovation, Sciences et Développement économique Canada"
"May 1, 2026",2.0,0032ce54-c5dd-4b66-99a0-320a7b5e99f2,582644d6-e3a2-4fc6-a647-a07d81cc8104,2016-09-23,2016-11-29,2016-11-29,Federal Corporations,Sociétés de régime fédéral,API Documentation,Documentation API,"Innovation, Science and Economic Development Canada "," Innovation, Sciences et Développement économique Canada"
"May 1, 2026",7.0,0032ce54-c5dd-4b66-99a0-320a7b5e99f2,No resource,2016-09-23,2016-09-23,2022-12-08,Federal Corporations,Sociétés de régime fédéral,No resources covered,Aucune ressource couverte,"Innovation, Science and Economic Development Canada "," Innovation, Sciences et Développement économique Canada"
"May 1, 2026",1.0,0032ce54-c5dd-4b66-99a0-320a7b5e99f2,e83e9eb0-824b-4153-8dad-4e0d6ef62e28,2016-09-23,2016-11-29,2016-11-29,Federal Corporations,Sociétés de régime fédéral,API Documentation,Documentation API,"Innovation, Science and Economic Development Canada "," Innovation, Sciences et Développement économique Canada"
"May 1, 2026",1.0,004de02c-19f1-4da0-9af8-33f893e41972,No resource,2020-12-10,2020-12-10,2026-04-29,Indices of deprivation,Indices de défavorisation,No resources covered,Aucune ressource couverte,Government and Municipalities of Québec , Gouvernement et municipalités du Québec
"May 1, 2026",1.0,004f6b03-ac84-4c7c-90cb-35949e6260bc,No resource,2018-01-09,2018-01-09,2026-04-30,Maps of reporting facilities – virtual globe format,Cartes des installations ayant soumis une déclaration – Format de visualisation virtuelle de la Terre,No resources covered,Aucune ressource couverte,Environment and Climate Change Canada , Environnement et Changement climatique Canada
"May 1, 2026",1.0,004f6b03-ac84-4c7c-90cb-35949e6260bc,aabce4c7-fbf5-4f36-b49d-9b6f6664b295,2018-01-09,2026-04-30,2026-04-30,Maps of reporting facilities – virtual globe format,Cartes des installations ayant soumis une déclaration – Format de visualisation virtuelle de la Terre,NPRI - 2024.kmz,NPRI - 2024.kmz,Environment and Climate Change Canada , Environnement et Changement climatique Canada
"May 1, 2026",1.0,006771a7-cbe0-f0fc-5aa3-4af1e8d11306,6ca7eaab-1332-4644-952c-c2a1bd0552f6,2022-08-10,2026-01-28,2026-01-28,Wetlands,Terres humides,New Brunswick original metadata (https://gnb.socrata.com),Métadonnées originales du Nouveau-Brunswick (https://gnb.socrata.com),Government of New Brunswick , Gouvernement du Nouveau-Brunswick
"May 1, 2026",2.0,006771a7-cbe0-f0fc-5aa3-4af1e8d11306,No resource,2022-08-10,2022-08-10,2026-01-28,Wetlands,Terres humides,No resources covered,Aucune ressource couverte,Government of New Brunswick , Gouvernement du Nouveau-Brunswick
"May 1, 2026",1.0,006771a7-cbe0-f0fc-5aa3-4af1e8d11306,a977a42f-c6a0-4b44-a031-2d3f4ae4d782,2022-08-10,2026-01-28,2026-01-28,Wetlands,Terres humides,Wetlands (CSV Excel),Terres humides (CSV Excel),Government of New Brunswick , Gouvernement du Nouveau-Brunswick
