owner_org,title,ati_email,packages,created,faa_schedule,opengov_email
aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,ATIP-AIPRP@agr.gc.ca,379,2016-09-23,1,
aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,aadnc.atiprequest-aiprpdemande.aandc@canada.ca,43,2016-09-23,1,
acoa-apeca,Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,atip-aiprp@acoa-apeca.gc.ca,37,2016-09-23,1.1,
aecl-eacl,"Atomic Energy of Canada Limited | Énergie atomique du Canada, Limitée",igaudreault@aecl.ca,0,2016-09-23,3,igaudreault@aecl.ca
apa,Atlantic Pilotage Authority Canada | Administration de pilotage de l'Atlantique Canada,bbradley@atlanticpilotage.com,4,2016-09-23,3,
apfc-fapc,Asia-Pacific Foundation of Canada | Fondation Asie Pacifique du Canada,atip.coordinator@asiapacific.ca,0,2016-09-23,NA,
atssc-scdata,Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,ATIP-AIPRP@tribunal.gc.ca,49,2016-09-23,1.1,
bc,Bank of Canada | Banque du Canada,ATIP-AIPRP@bankofcanada.ca,0,2016-09-23,NA,
bctc-ctcb,British Columbia Treaty Commission | Commission des Traités de la Colombie-Britannique,sgustin@bctreaty.ca,0,2018-08-21,NA,
bdc,Business Development Bank of Canada | Banque de développement du Canada,atip-aiprp@bdc.ca,0,2016-09-23,3,
bpa-apd,Belledune Port Authority | Administration portuaire de Belledune,moffitt@portofbelledune.ca,0,2023-09-16,NA,
cannor,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord,atip-aiprp@cannor.gc.ca,1,2016-09-23,1.1,
cas-satj,Courts Administration Service | Service administratif des tribunaux judiciaires,,2,2016-09-23,NA,
casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada,NC-COMM-ATIP-AIPRP-GD@hrsdc-rhdcc.gc.ca,2,2019-12-12,NA,
catsa-acsta,Canadian Air Transport Security Authority | Administration canadienne de la sûreté du transport aérien,atip@catsa.gc.ca,4,2016-09-23,3,
cb-cda,Copyright Board Canada | Commission du droit d'auteur du Canada,nancy.laframboise@cb-cda.gc.ca,1,2016-09-23,NA,
cbc-radio-canada,Canadian Broadcasting Company | Radio-Canada,Peter.Hull@cbc.ca,0,2016-09-23,NA,
cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada,ATIP-AIPRP@cbsa-asfc.gc.ca,17,2016-09-23,2,
cca-cac,Canada Council for the Arts | Conseil des arts du Canada,atip-aiprp@canadacouncil.ca,2,2016-09-23,NA,
ccc,Canadian Commercial Corporation | Corporation commerciale canadienne,atip.aiprp@ccc.ca,0,2016-09-23,3,
ccohs-cchst,Canadian Centre for Occupational Health and Safety | Centre canadien d'hygiène et de sécurité au travail,atip_aiprp@ccohs.ca,12,2016-09-23,2,
ccperb-cceebc,Canadian Cultural Property Export Review Board | Commission canadienne d'examen des exportations de biens culturels,ATIP-AIPRP@tribunal.gc.ca,0,2016-09-23,NA,
cdc-ccl,Canadian Dairy Commission | Commission canadienne du lait,priscilla.revolus@cdc-ccl.gc.ca,0,2016-09-23,3,
cdev,Canada Development Investment Corporation | Corporation de développement des investissements du Canada,atip-aiprp@cdev.gc.ca,0,2016-09-23,3,
cdic-sadc,Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada,ATIP-AIPRP@cdic.ca,8,2016-09-23,3,
