date,structured_pd,non_structured_pd,total
2024-01-14,2404263,985,2405248
2024-01-13,2404239,985,2405224
2024-01-12,2403942,985,2404927
2024-01-11,2403791,985,2404776
2024-01-10,2403730,985,2404715
2024-01-09,2403403,984,2404387
2024-01-08,2403312,984,2404296
2024-01-07,2403312,984,2404296
2024-01-06,2403312,984,2404296
2024-01-05,2403268,984,2404252
2024-01-04,2403093,985,2404078
2024-01-03,2402942,985,2403927
2024-01-02,2402840,985,2403825
2024-01-01,2402840,985,2403825
2023-12-31,2402840,985,2403825
2023-12-30,2402837,985,2403822
2023-12-29,2401771,985,2402756
2023-12-28,2401078,984,2402062
2023-12-27,2400832,984,2401816
2023-12-26,2400832,984,2401816
2023-12-25,2400832,984,2401816
2023-12-24,2400832,984,2401816
2023-12-23,2400809,982,2401791
2023-12-22,2399984,982,2400966
2023-12-21,2399577,981,2400558
2023-12-20,2399199,981,2400180
2023-12-19,2399129,981,2400110
2023-12-18,2398945,981,2399926
2023-12-17,2398945,981,2399926
2023-12-16,2398945,978,2399923
2023-12-15,2398900,978,2399878
2023-12-14,2398766,977,2399743
2023-12-13,2398706,964,2399670
2023-12-12,2398370,964,2399334
2023-12-11,2398370,964,2399334
2023-12-10,2398370,964,2399334
2023-12-09,2398370,964,2399334
2023-12-08,2398269,962,2399231
2023-12-07,2398155,962,2399117
2023-12-06,2398150,961,2399111
2023-12-05,2397946,961,2398907
2023-12-04,2397836,958,2398794
2023-12-03,2397836,958,2398794
2023-12-02,2397836,954,2398790
2023-12-01,2396100,955,2397055
2023-11-30,2395840,953,2396793
2023-11-29,2394563,952,2395515
2023-11-28,2393973,952,2394925
2023-11-27,2393614,952,2394566
2023-11-26,2393614,952,2394566
2023-11-24,2393389,948,2394337
2023-11-23,2393305,944,2394249
2023-11-22,2393309,942,2394251
2023-11-21,2393240,940,2394180
2023-11-20,2393203,940,2394143
2023-11-19,2393203,940,2394143
2023-11-18,2393203,935,2394138
2023-11-17,2392987,933,2393920
2023-11-16,2392753,929,2393682
2023-11-15,2392640,929,2393569
2023-11-14,2392531,929,2393460
2023-11-13,2392531,929,2393460
2023-11-12,2392531,929,2393460
2023-11-11,2392531,929,2393460
2023-11-10,2392412,926,2393338
2023-11-09,2392054,926,2392980
