date,num_dept,num_datasets,num_res,ds_size_bytes,ds_size_readable,sum_ds_fields,sum_ds_count,count_open_canada,count_remote_xload
2025-04-19,38,807,2351,225889882671.0,210.4GB,40335.0,47082496.0,2322.0,29.0
2025-04-18,38,807,2351,225889931823.0,210.4GB,40335.0,47082492.0,2322.0,29.0
2025-04-17,38,807,2351,225888047663.0,210.4GB,40335.0,47082368.0,2322.0,29.0
2025-04-16,38,806,2350,225891381807.0,210.4GB,40323.0,47073548.0,2321.0,29.0
2025-04-15,38,806,2350,225878602287.0,210.4GB,40323.0,47073309.0,2321.0,29.0
2025-04-14,38,806,2350,225877201455.0,210.4GB,40323.0,47073107.0,2321.0,29.0
2025-04-13,38,806,2350,225877037615.0,210.4GB,40323.0,47073101.0,2321.0,29.0
2025-04-12,38,806,2350,225878561327.0,210.4GB,40323.0,47073100.0,2321.0,29.0
2025-04-11,38,807,2375,225868501551.0,210.4GB,40464.0,47121216.0,2346.0,29.0
2025-04-10,38,807,2375,225868411439.0,210.4GB,40468.0,47121150.0,2346.0,29.0
2025-04-09,38,806,2374,225866969647.0,210.4GB,40451.0,47121034.0,2345.0,29.0
2025-04-08,38,806,2374,225871114799.0,210.4GB,40451.0,47121003.0,2345.0,29.0
2025-04-07,38,806,2374,225865929263.0,210.4GB,40451.0,47120790.0,2345.0,29.0
2025-04-06,38,806,2374,225865683503.0,210.4GB,40451.0,47120789.0,2345.0,29.0
2025-04-05,38,806,2374,225865478703.0,210.4GB,40451.0,47120783.0,2345.0,29.0
2025-04-04,38,804,2366,225880838703.0,210.4GB,39707.0,46976891.0,2337.0,29.0
2025-04-03,38,804,2366,224580497967.0,209.2GB,39707.0,46967878.0,2337.0,29.0
2025-04-02,38,803,2363,224205500975.0,208.8GB,39618.0,46872040.0,2334.0,29.0
2025-04-01,38,802,2362,224162861615.0,208.8GB,39620.0,46856911.0,2334.0,28.0
2025-03-31,38,802,2362,224165868079.0,208.8GB,39620.0,46856046.0,2334.0,28.0
2025-03-30,38,802,2362,224165777967.0,208.8GB,39620.0,46856035.0,2334.0,28.0
2025-03-29,38,801,2359,224165237295.0,208.8GB,39611.0,46727764.0,2333.0,26.0
2025-03-28,38,801,2359,224049451567.0,208.7GB,39611.0,46726788.0,2333.0,26.0
2025-03-27,38,801,2359,224043831855.0,208.7GB,39608.0,46726125.0,2333.0,26.0
2025-03-26,38,801,2359,224040530479.0,208.7GB,39565.0,46725811.0,2333.0,26.0
2025-03-25,38,801,2359,224038449711.0,208.7GB,38759.0,45581809.0,2333.0,26.0
2025-03-24,38,801,2359,224025899567.0,208.6GB,39611.0,46723006.0,2333.0,26.0
2025-03-23,38,801,2359,224025522735.0,208.6GB,39611.0,46723002.0,2333.0,26.0
2025-03-22,37,801,2359,224025391663.0,208.6GB,39620.0,46722972.0,2333.0,26.0
2025-03-21,37,801,2359,224026800687.0,208.6GB,39620.0,46722877.0,2333.0,26.0
2025-03-20,37,801,2359,224023704111.0,208.6GB,39620.0,46722830.0,2333.0,26.0
2025-03-19,37,801,2359,224027161135.0,208.6GB,39620.0,46722696.0,2333.0,26.0
2025-03-18,37,799,2348,223850197551.0,208.5GB,39570.0,46485143.0,2332.0,16.0
2025-03-17,37,799,2348,223841014319.0,208.5GB,39570.0,46482927.0,2332.0,16.0
2025-03-16,37,799,2348,223840858671.0,208.5GB,39570.0,46482926.0,2332.0,16.0
2025-03-15,37,799,2348,223840629295.0,208.5GB,39570.0,46482923.0,2332.0,16.0
2025-03-14,37,800,2349,223845405231.0,208.5GB,39573.0,46483616.0,2333.0,16.0
2025-03-13,37,800,2349,223850779183.0,208.5GB,39573.0,46483523.0,2333.0,16.0
2025-03-11,37,800,2349,223848149551.0,208.5GB,39573.0,46483260.0,2333.0,16.0
2025-03-10,37,800,2349,223845634607.0,208.5GB,39573.0,46483173.0,2333.0,16.0
2025-03-09,37,800,2349,223845397039.0,208.5GB,39573.0,46483169.0,2333.0,16.0
2025-03-08,37,800,2349,223845257775.0,208.5GB,39573.0,46483162.0,2333.0,16.0
2025-03-07,36,799,2347,223845233199.0,208.5GB,39563.0,46480500.0,2331.0,16.0
2025-03-06,36,799,2346,223838589487.0,208.5GB,39547.0,46472603.0,2330.0,16.0
2025-03-05,36,799,2345,223820780079.0,208.4GB,39538.0,46469066.0,2329.0,16.0
2025-03-04,36,799,2346,223783948847.0,208.4GB,39521.0,46466757.0,2330.0,16.0
2025-03-03,36,799,2345,223353442863.0,208.0GB,39487.0,46367732.0,2329.0,16.0
2025-03-02,36,799,2345,223353033263.0,208.0GB,39487.0,46367729.0,2329.0,16.0
2025-03-01,36,799,2345,223353115183.0,208.0GB,39487.0,46367329.0,2329.0,16.0
2025-02-28,36,799,2345,223347847727.0,208.0GB,39487.0,46366074.0,2329.0,16.0
2025-02-27,36,799,2345,223346676271.0,208.0GB,37960.0,44044046.0,2329.0,16.0
2025-02-26,36,799,2345,223342637615.0,208.0GB,39487.0,46364825.0,2329.0,16.0
2025-02-25,36,797,2331,223342424623.0,208.0GB,39406.0,46337876.0,2315.0,16.0
2025-02-24,36,797,2331,223319552559.0,208.0GB,39404.0,46337760.0,2315.0,16.0
2025-02-23,36,797,2331,223319519791.0,208.0GB,39404.0,46337755.0,2315.0,16.0
2025-02-22,36,797,2331,223318889007.0,208.0GB,39404.0,46337751.0,2315.0,16.0
2025-02-21,36,797,2331,223316767279.0,208.0GB,39404.0,46337647.0,2315.0,16.0
2025-02-20,36,797,2328,223316242991.0,208.0GB,39380.0,46232807.0,2312.0,16.0
2025-02-19,36,797,2328,223470129711.0,208.1GB,39362.0,46471258.0,2312.0,16.0
2025-02-18,36,796,2326,223469015599.0,208.1GB,39356.0,46470972.0,2312.0,14.0
2025-02-17,36,796,2326,223448003119.0,208.1GB,39351.0,46464045.0,2312.0,14.0
2025-02-16,36,796,2326,223447159343.0,208.1GB,39356.0,46464033.0,2312.0,14.0
2025-02-15,36,795,2324,223444505135.0,208.1GB,39333.0,46463449.0,2310.0,14.0
2025-02-14,36,795,2324,223440736815.0,208.1GB,39333.0,46463413.0,2310.0,14.0
2025-02-14,36,794,2300,218431361583.0,203.4GB,31081.0,42214896.0,2286.0,14.0
2025-02-13,36,794,2286,123032826415.0,114.6GB,30984.0,42179512.0,2272.0,14.0
2025-02-12,36,793,2282,123006612015.0,114.6GB,30974.0,42174498.0,2268.0,14.0
2025-02-11,36,793,2282,123007578671.0,114.6GB,30974.0,42174322.0,2268.0,14.0
2025-02-10,36,793,2282,123007054383.0,114.6GB,30974.0,42174203.0,2268.0,14.0
2025-02-09,36,793,2282,123006906927.0,114.6GB,30974.0,42174202.0,2268.0,14.0
2025-02-08,36,793,2282,123006595631.0,114.6GB,30974.0,42174196.0,2268.0,14.0
2025-02-07,36,792,2283,123004056111.0,114.6GB,30974.0,42174105.0,2270.0,13.0
2025-02-06,36,792,2281,122968543791.0,114.5GB,30974.0,42174037.0,2268.0,13.0
2025-02-06,36,792,2281,122968535599.0,114.5GB,30974.0,42174037.0,2268.0,13.0
2025-02-05,36,792,2282,122936136239.0,114.5GB,30974.0,42166636.0,2269.0,13.0
2025-02-04,36,791,2279,122933252655.0,114.5GB,30955.0,42206534.0,2266.0,13.0
2025-02-03,36,791,2278,122911920687.0,114.5GB,3701.0,2516927.0,2265.0,13.0
2025-02-02,36,791,2278,122911904303.0,114.5GB,30939.0,42194149.0,2265.0,13.0
2025-02-01,36,788,2267,122911920687.0,114.5GB,30775.0,42149237.0,2263.0,4.0
2025-01-31,36,788,2267,122830025263.0,114.4GB,30762.0,42148858.0,2263.0,4.0
2025-01-30,36,787,2266,122681831983.0,114.3GB,30763.0,42116842.0,2262.0,4.0
2025-01-29,36,787,2266,122621342255.0,114.2GB,30759.0,42109966.0,2262.0,4.0
2025-01-28,36,787,2266,122578776623.0,114.2GB,30759.0,42104120.0,2262.0,4.0
2025-01-27,36,787,2266,122525872687.0,114.1GB,30739.0,42098247.0,2262.0,4.0
2025-01-26,36,787,2266,122525315631.0,114.1GB,30754.0,42098243.0,2262.0,4.0
2025-01-25,36,786,2264,122524594735.0,114.1GB,30675.0,42086381.0,,
2025-01-25,36,787,2266,122524733999.0,114.1GB,30759.0,42098239.0,2262.0,4.0
2025-01-24,36,786,2267,122473288239.0,114.1GB,30720.0,42042392.0,,
2025-01-23,36,783,2263,122467439151.0,114.1GB,30720.0,42010399.0,,
2025-01-22,36,783,2263,122418926127.0,114.0GB,30720.0,42009480.0,,
2025-01-21,36,783,2263,122411160111.0,114.0GB,30720.0,42009199.0,,
2025-01-20,36,783,2263,122411774511.0,114.0GB,30722.0,41997348.0,,
2025-01-19,36,783,2263,122411749935.0,114.0GB,30704.0,41997341.0,,
2025-01-18,36,783,2260,122411749935.0,114.0GB,30648.0,41395420.0,,
2025-01-17,36,783,2260,121461183023.0,113.1GB,30653.0,41395163.0,,
2025-01-16,36,781,2258,121451401775.0,113.1GB,30618.0,41375184.0,,
2025-01-15,36,781,2258,121441612335.0,113.1GB,30641.0,41369644.0,,
2025-01-14,36,781,2258,121440326191.0,113.1GB,30634.0,41369088.0,,
2025-01-13,36,781,2258,121438204463.0,113.1GB,30624.0,41369010.0,,
2025-01-12,36,781,2258,121438163503.0,113.1GB,30648.0,41369006.0,,
2025-01-11,36,781,2258,121438106159.0,113.1GB,30648.0,41369002.0,,
2025-01-10,36,781,2258,121425818159.0,113.1GB,30624.0,41363142.0,,
2025-01-09,36,781,2258,121425375791.0,113.1GB,30656.0,41362984.0,,
2025-01-08,36,780,2256,121379910191.0,113.0GB,30633.0,40776180.0,,
2025-01-07,36,779,2254,120849838639.0,112.6GB,30578.0,40775643.0,,
2025-01-06,36,779,2254,120823484975.0,112.5GB,30574.0,40776326.0,,
2025-01-05,36,779,2254,120823329327.0,112.5GB,30544.0,40776322.0,,
2025-01-04,36,779,2253,120822985263.0,112.5GB,30517.0,40768682.0,,
2025-01-03,36,779,2252,120801653295.0,112.5GB,30483.0,40659509.0,,
2025-01-02,36,779,2251,120053772847.0,111.8GB,30431.0,40584119.0,,
2025-01-01,36,779,2251,120053600815.0,111.8GB,30429.0,40584115.0,,
2025-01-01,36,779,2251,120047079983.0,111.8GB,,,,
2025-01-01,36,779,2251,120053609007.0,111.8GB,30431.0,40584115.0,,
2024-12-31,36,779,2251,,111.8GB,,,,
2024-12-30,36,779,2251,,111.8GB,,,,
2024-12-29,36,779,2251,,111.8GB,,,,
2024-12-28,36,779,2251,,111.8GB,,,,
2024-12-27,36,779,2251,,111.8GB,,,,
2024-12-27,36,779,2251,,111.8GB,,,,
