owner,package_id,dataset_name,resource_id,resource_name,metadata_modified,size,url,type,ds_count,ds_fields,ds_size
cbsa-asfc,000fe5aa-1d77-42d1-bfe7-458c51dacfef,Historical Border Wait Times – Land Mode,2b5853e4-41b4-4858-86dd-38012e30d5b8,Historical Border Wait Times - 2019-04-01 to 2025-10-31,2025-12-16T22:29:45.775767,80693,https://open.canada.ca/data/dataset/000fe5aa-1d77-42d1-bfe7-458c51dacfef/resource/2b5853e4-41b4-4858-86dd-38012e30d5b8/download/land-bwt-opengov-en.csv,upload,2054.0,4.0,352256.0
cbsa-asfc,000fe5aa-1d77-42d1-bfe7-458c51dacfef,Historical Border Wait Times – Land Mode,c38762fc-3185-4cc7-9669-89ae2f9b5069,Historical Border Wait Time - 2019-04-01 to 2025-10-31,2025-12-16T22:31:39.432359,80576,https://open.canada.ca/data/dataset/000fe5aa-1d77-42d1-bfe7-458c51dacfef/resource/c38762fc-3185-4cc7-9669-89ae2f9b5069/download/land-bwt-opengov-fr.csv,upload,2054.0,4.0,352256.0
cra-arc,00620984-88f6-4db4-837f-67578a5ad166,Corporate Statistical Tables (2018 to 2023 tax years),b95ca779-cbc9-41bb-9007-12c6e2f846b9,"Table 1:  Number of Corporations by Jurisdiction, 2018 to 2023",2025-11-26T15:21:09.485174,,https://open.canada.ca/data/dataset/00620984-88f6-4db4-837f-67578a5ad166/resource/b95ca779-cbc9-41bb-9007-12c6e2f846b9/download/t2-crp-sttstcs-tbl01-e.csv,upload,16.0,7.0,8192.0
cra-arc,00620984-88f6-4db4-837f-67578a5ad166,Corporate Statistical Tables (2018 to 2023 tax years),dafa3b28-b1c4-4a49-a88a-da2e6891f176,"Table 1:  Number of Corporations by Jurisdiction, 2018 to 2023",2025-11-26T15:21:09.487919,,https://open.canada.ca/data/dataset/00620984-88f6-4db4-837f-67578a5ad166/resource/dafa3b28-b1c4-4a49-a88a-da2e6891f176/download/sttstqs-scts-t2-tbl01-f.csv,upload,16.0,7.0,8192.0
cra-arc,00620984-88f6-4db4-837f-67578a5ad166,Corporate Statistical Tables (2018 to 2023 tax years),0aa6c79b-1da0-4855-b2c1-130cb1bc733b,"Table 2: Number of Corporations by Size and by Jurisdiction, 2018 to 2023",2025-11-26T15:21:09.489344,,https://open.canada.ca/data/dataset/00620984-88f6-4db4-837f-67578a5ad166/resource/0aa6c79b-1da0-4855-b2c1-130cb1bc733b/download/t2-crp-sttstcs-tbl02-e.csv,upload,49.0,8.0,16384.0
cra-arc,00620984-88f6-4db4-837f-67578a5ad166,Corporate Statistical Tables (2018 to 2023 tax years),90519ee6-85ec-4d6c-9373-b7c98e33c702,"Table 2: Number of Corporations by Size and by Jurisdiction, 2018 to 2023",2025-11-26T15:21:09.491429,,https://open.canada.ca/data/dataset/00620984-88f6-4db4-837f-67578a5ad166/resource/90519ee6-85ec-4d6c-9373-b7c98e33c702/download/sttstqs-scts-t2-tbl02-f.csv,upload,49.0,8.0,16384.0
cra-arc,00620984-88f6-4db4-837f-67578a5ad166,Corporate Statistical Tables (2018 to 2023 tax years),8eec5cae-6f16-41a7-9675-a7a4ce46040f,"Table 3: Total Revenue by Jurisdiction, 2018 to 2023",2025-11-26T15:21:09.492576,,https://open.canada.ca/data/dataset/00620984-88f6-4db4-837f-67578a5ad166/resource/8eec5cae-6f16-41a7-9675-a7a4ce46040f/download/t2-crp-sttstcs-tbl03-e.csv,upload,16.0,7.0,8192.0
cra-arc,00620984-88f6-4db4-837f-67578a5ad166,Corporate Statistical Tables (2018 to 2023 tax years),efd044c9-5bbc-4d39-9a60-0003b974136f,"Table 3: Total Revenue by Jurisdiction, 2018 to 2023",2025-11-26T15:21:09.493662,,https://open.canada.ca/data/dataset/00620984-88f6-4db4-837f-67578a5ad166/resource/efd044c9-5bbc-4d39-9a60-0003b974136f/download/sttstqs-scts-t2-tbl03-f.csv,upload,16.0,7.0,8192.0
cra-arc,00620984-88f6-4db4-837f-67578a5ad166,Corporate Statistical Tables (2018 to 2023 tax years),b32ebf31-a0cf-431b-bc24-162df8b2556d,"Table 4: Net Income (or Loss) for Income Tax Purposes by Jurisdiction, 2018 to 2023",2025-11-26T15:21:09.494734,,https://open.canada.ca/data/dataset/00620984-88f6-4db4-837f-67578a5ad166/resource/b32ebf31-a0cf-431b-bc24-162df8b2556d/download/t2-crp-sttstcs-tbl04-e.csv,upload,16.0,7.0,8192.0
cra-arc,00620984-88f6-4db4-837f-67578a5ad166,Corporate Statistical Tables (2018 to 2023 tax years),e0ecc0cf-ba32-4c16-a6c0-c24f6763b2d8,"Table 4: Net Income (or Loss) for Income Tax Purposes by Jurisdiction, 2018 to 2023",2025-11-26T15:21:09.496109,,https://open.canada.ca/data/dataset/00620984-88f6-4db4-837f-67578a5ad166/resource/e0ecc0cf-ba32-4c16-a6c0-c24f6763b2d8/download/sttstqs-scts-t2-tbl04-f.csv,upload,16.0,7.0,8192.0
