date,transition,transition_deputy,parliament_report,parliament_committee,parliament_committee_deputy,total
2023-12-02,69,46,347,266,226,954
2023-12-01,69,46,348,266,226,955
2023-11-30,69,46,346,266,226,953
2023-11-29,69,46,346,265,226,952
2023-11-28,69,46,346,265,226,952
2023-11-27,69,46,346,265,226,952
2023-11-26,69,46,346,265,226,952
2023-11-24,66,46,345,265,226,948
2023-11-23,63,46,344,265,226,944
2023-11-22,63,45,343,265,226,942
2023-11-21,62,45,342,265,226,940
2023-11-20,62,45,342,265,226,940
2023-11-19,62,45,342,265,226,940
2023-11-18,62,45,337,265,226,935
2023-11-17,62,45,335,265,226,933
2023-11-16,62,45,331,265,226,929
2023-11-15,62,45,331,265,226,929
2023-11-14,62,45,331,265,226,929
2023-11-13,62,45,331,265,226,929
2023-11-12,62,45,331,265,226,929
2023-11-11,62,45,331,265,226,929
2023-11-10,61,45,329,265,226,926
2023-11-09,61,45,329,265,226,926
