owner_org,ati_all,ati_nil,briefingt,contracts,contracts_nil,contractsa,dac,grants,grants_nil,hospitalityq,hospitalityq_nil,qpnotes,reclassification,reclassification_nil,travela,travelq,travelq_nil,wrongdoing
aafc-aac,1259,0,2668,14063,0,6,63,12924,0,22,49,57,275,3,8,1455,3,0
aandc-aadnc,1472,11,4541,4342,1,0,77,19419,0,131,0,302,95,13,4,1221,0,0
acoa-apeca,200,5,554,585,0,6,0,26953,0,217,0,5,187,9,0,2672,0,0
aecl-eacl,344,23,0,0,0,0,0,0,0,169,1,0,0,0,0,1085,1,0
apa,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apfc-fapc,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atssc-scdata,90,23,89,994,0,6,0,0,0,157,0,0,158,0,0,449,0,0
bc,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bctc-ctcb,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdc,69,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bpa-apd,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cannor,83,26,315,87,1,3,0,1526,0,18,44,13,2,7,6,87,22,1
cas-satj,0,0,0,1850,0,6,61,0,0,116,21,0,6,0,0,287,2,0
casdo-ocena,7,35,9,133,0,0,0,72,0,5,37,0,0,0,3,93,20,0
catsa-acsta,192,30,0,0,0,0,0,0,0,503,22,0,0,0,8,963,25,0
cb-cda,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbc-radio-canada,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbsa-asfc,4224,0,485,9113,0,4,74,0,0,304,47,0,357,12,10,727,23,2
cca-cac,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccc,117,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccohs-cchst,20,35,2,173,0,6,0,0,0,34,55,0,0,0,7,132,33,0
