date,ati_all,ati_nil,contracts,contracts_nil,contractsa,grants,grants_nil,reclassification,reclassification_nil,travela,travelq,travelq_nil,hospitalityq,hospitalityq_nil,dac,briefingt,qpnotes,wrongdoing,adminaircraft,total
2023-11-21,165883,2833,1036641,74,393,949374,167,11068,836,474,91190,1951,22469,3177,2865,99028,4751,46,20,2393240
2023-11-20,165871,2831,1036641,74,393,949374,167,11068,836,473,91184,1951,22467,3176,2865,99015,4751,46,20,2393203
2023-11-19,165871,2831,1036641,74,393,949374,167,11068,836,473,91184,1951,22467,3176,2865,99015,4751,46,20,2393203
2023-11-18,165871,2831,1036641,74,393,949374,167,11068,836,473,91184,1951,22467,3176,2865,99015,4751,46,20,2393203
2023-11-17,165888,2824,1036627,74,393,949179,167,11068,836,471,91184,1951,22467,3176,2852,99013,4751,46,20,2392987
2023-11-16,165739,2820,1036559,74,393,949178,167,11068,836,471,91184,1949,22464,3175,2852,99007,4751,46,20,2392753
2023-11-15,165667,2818,1036546,74,393,949178,167,11068,836,468,91175,1949,22460,3175,2842,99007,4751,46,20,2392640
2023-11-14,165667,2818,1036496,74,393,949179,167,11065,836,466,91148,1948,22457,3174,2821,99005,4751,46,20,2392531
2023-11-13,165667,2818,1036496,74,393,949179,167,11065,836,466,91148,1948,22457,3174,2821,99005,4751,46,20,2392531
2023-11-12,165667,2818,1036496,74,393,949179,167,11065,836,466,91148,1948,22457,3174,2821,99005,4751,46,20,2392531
2023-11-11,165667,2818,1036496,74,393,949179,167,11065,836,466,91148,1948,22457,3174,2821,99005,4751,46,20,2392531
2023-11-10,165654,2813,1036430,74,393,949178,167,11065,836,464,91134,1948,22456,3174,2806,99003,4751,46,20,2392412
2023-11-09,165646,2738,1036237,74,392,949177,167,11065,836,444,91093,1947,22449,3174,2797,99001,4751,46,20,2392054
