date,pd_type,pd_count
Wed 08 Nov 2023,wrongdoing,46
Wed 08 Nov 2023,travelq_nil,1947
Wed 08 Nov 2023,travelq,91093
Wed 08 Nov 2023,travela,444
Wed 08 Nov 2023,transition_deputy,45
Wed 08 Nov 2023,transition,61
Wed 08 Nov 2023,reclassification_nil,836
Wed 08 Nov 2023,reclassification,11065
Wed 08 Nov 2023,qpnotes,4751
Wed 08 Nov 2023,parliament_report,329
Wed 08 Nov 2023,parliament_committee_deputy,226
Wed 08 Nov 2023,parliament_committee,265
Wed 08 Nov 2023,hospitalityq_nil,3174
Wed 08 Nov 2023,hospitalityq,22449
Wed 08 Nov 2023,grants_nil,167
Wed 08 Nov 2023,grants,949177
Wed 08 Nov 2023,dac,2797
Wed 08 Nov 2023,contractsa,392
Wed 08 Nov 2023,contracts_nil,74
Wed 08 Nov 2023,contracts,1036237
Wed 08 Nov 2023,briefingt,99001
Wed 08 Nov 2023,ati_nil,2738
Wed 08 Nov 2023,ati_all,165646
Wed 08 Nov 2023,adminaircraft,20
