date,pd_type,pd_count
2023-12-30,ati_all,168196
2023-12-30,dac,2882
2023-12-30,contracts_nil,74
2023-12-30,contractsa,397
2023-12-30,grants,949369
2023-12-30,grants_nil,167
2023-12-30,reclassification,11114
2023-12-30,reclassification_nil,839
2023-12-30,travela,488
2023-12-30,travelq,93493
2023-12-30,travelq_nil,1984
2023-12-30,hospitalityq,22841
2023-12-30,briefingt,102844
2023-12-30,ati_nil,3053
2023-12-30,qpnotes,4751
2023-12-30,wrongdoing,47
2023-12-30,adminaircraft,20
2023-12-30,transition,69
2023-12-30,transition_deputy,46
2023-12-30,parliament_report,370
2023-12-30,parliament_committee,267
2023-12-30,parliament_committee_deputy,233
2023-12-30,contracts,1037031
2023-12-30,hospitalityq_nil,3247
2023-12-29,reclassification,11114
2023-12-29,ati_nil,3052
2023-12-29,hospitalityq_nil,3243
2023-12-29,ati_all,168023
2023-12-29,dac,2882
2023-12-29,reclassification_nil,839
2023-12-29,contracts,1037031
2023-12-29,hospitalityq,22829
2023-12-29,parliament_committee_deputy,233
2023-12-29,qpnotes,4751
2023-12-29,travelq_nil,1982
2023-12-29,transition,69
2023-12-29,contracts_nil,74
2023-12-29,grants_nil,167
2023-12-29,transition_deputy,46
2023-12-29,parliament_committee,267
2023-12-29,grants,949369
2023-12-29,parliament_report,370
2023-12-29,contractsa,397
2023-12-29,adminaircraft,20
2023-12-29,briefingt,102149
2023-12-29,travela,488
2023-12-29,travelq,93314
2023-12-29,wrongdoing,47
2023-12-28,travela,488
2023-12-28,grants_nil,167
2023-12-28,transition_deputy,46
2023-12-28,ati_all,167897
2023-12-28,hospitalityq_nil,3239
2023-12-28,dac,2882
2023-12-28,wrongdoing,47
2023-12-28,reclassification_nil,839
2023-12-28,parliament_committee,267
2023-12-28,contracts_nil,74
2023-12-28,contracts,1037025
2023-12-28,transition,69
2023-12-28,travelq,92893
2023-12-28,travelq_nil,1972
2023-12-28,qpnotes,4751
2023-12-28,parliament_committee_deputy,233
2023-12-28,reclassification,11112
2023-12-28,adminaircraft,20
2023-12-28,grants,949369
2023-12-28,parliament_report,369
2023-12-28,briefingt,102064
2023-12-28,contractsa,397
2023-12-28,hospitalityq,22792
2023-12-28,ati_nil,3050
2023-12-27,grants_nil,167
2023-12-27,contractsa,397
2023-12-27,transition,69
2023-12-27,contracts,1037025
2023-12-27,travelq_nil,1970
2023-12-27,briefingt,101916
2023-12-27,parliament_report,369
2023-12-27,contracts_nil,74
2023-12-27,ati_all,167897
2023-12-27,parliament_committee,267
2023-12-27,wrongdoing,47
2023-12-27,parliament_committee_deputy,233
2023-12-27,travelq,92817
2023-12-27,qpnotes,4751
2023-12-27,reclassification_nil,839
2023-12-27,ati_nil,3050
2023-12-27,adminaircraft,20
2023-12-27,dac,2882
2023-12-27,transition_deputy,46
2023-12-27,travela,488
2023-12-27,reclassification,11112
2023-12-27,grants,949369
2023-12-27,hospitalityq_nil,3238
2023-12-27,hospitalityq,22773
2023-12-26,qpnotes,4751
2023-12-26,travelq,92817
2023-12-26,parliament_committee_deputy,233
2023-12-26,ati_all,167897
2023-12-26,briefingt,101916
2023-12-26,parliament_report,369
2023-12-26,transition,69
2023-12-26,travelq_nil,1970
2023-12-26,contracts_nil,74
2023-12-26,grants_nil,167
2023-12-26,hospitalityq,22773
2023-12-26,grants,949369
2023-12-26,transition_deputy,46
2023-12-26,parliament_committee,267
2023-12-26,contractsa,397
2023-12-26,wrongdoing,47
2023-12-26,reclassification,11112
2023-12-26,ati_nil,3050
2023-12-26,adminaircraft,20
2023-12-26,travela,488
2023-12-26,reclassification_nil,839
2023-12-26,contracts,1037025
2023-12-26,dac,2882
2023-12-26,hospitalityq_nil,3238
2023-12-25,hospitalityq_nil,3238
2023-12-25,transition_deputy,46
2023-12-25,contracts_nil,74
2023-12-25,grants_nil,167
2023-12-25,travela,488
2023-12-25,travelq,92817
2023-12-25,reclassification_nil,839
2023-12-25,parliament_committee,267
2023-12-25,travelq_nil,1970
2023-12-25,grants,949369
2023-12-25,hospitalityq,22773
2023-12-25,adminaircraft,20
2023-12-25,briefingt,101916
2023-12-25,ati_all,167897
2023-12-25,wrongdoing,47
2023-12-25,contractsa,397
2023-12-25,ati_nil,3050
2023-12-25,parliament_report,369
2023-12-25,parliament_committee_deputy,233
2023-12-25,contracts,1037025
2023-12-25,qpnotes,4751
2023-12-25,reclassification,11112
2023-12-25,dac,2882
2023-12-25,transition,69
2023-12-24,qpnotes,4751
2023-12-24,parliament_committee,267
2023-12-24,reclassification_nil,839
2023-12-24,grants,949369
2023-12-24,hospitalityq,22773
2023-12-24,adminaircraft,20
2023-12-24,briefingt,101916
2023-12-24,travelq_nil,1970
2023-12-24,wrongdoing,47
2023-12-24,transition_deputy,46
2023-12-24,reclassification,11112
2023-12-24,contractsa,397
2023-12-24,ati_nil,3050
2023-12-24,parliament_report,369
2023-12-24,travelq,92817
2023-12-24,hospitalityq_nil,3238
2023-12-24,dac,2882
2023-12-24,transition,69
2023-12-24,parliament_committee_deputy,233
2023-12-24,grants_nil,167
2023-12-24,travela,488
2023-12-24,contracts_nil,74
2023-12-24,contracts,1037025
2023-12-24,ati_all,167897
2023-12-23,contracts,1037025
2023-12-23,briefingt,101893
2023-12-23,transition,69
2023-12-23,reclassification,11112
2023-12-23,grants_nil,167
2023-12-23,contracts_nil,74
2023-12-23,travelq,92817
2023-12-23,wrongdoing,47
2023-12-23,contractsa,397
2023-12-23,ati_nil,3050
2023-12-23,parliament_committee_deputy,231
2023-12-23,parliament_report,369
2023-12-23,travela,488
2023-12-23,transition_deputy,46
2023-12-23,reclassification_nil,839
2023-12-23,ati_all,167897
2023-12-23,adminaircraft,20
2023-12-23,qpnotes,4751
2023-12-23,hospitalityq,22773
2023-12-23,dac,2882
2023-12-23,travelq_nil,1970
2023-12-23,grants,949369
2023-12-23,parliament_committee,267
2023-12-23,hospitalityq_nil,3238
2023-12-22,travela,488
2023-12-22,travelq_nil,1968
2023-12-22,grants_nil,167
2023-12-22,transition_deputy,46
2023-12-22,parliament_report,369
2023-12-22,transition,69
2023-12-22,ati_all,167654
2023-12-22,wrongdoing,47
2023-12-22,travelq,92617
2023-12-22,qpnotes,4751
2023-12-22,reclassification_nil,839
2023-12-22,reclassification,11112
2023-12-22,adminaircraft,20
2023-12-22,briefingt,101549
2023-12-22,grants,949369
2023-12-22,parliament_committee_deputy,231
2023-12-22,contracts_nil,74
2023-12-22,ati_nil,3050
2023-12-22,hospitalityq,22740
2023-12-22,dac,2882
2023-12-22,parliament_committee,267
2023-12-22,contractsa,397
2023-12-22,hospitalityq_nil,3235
2023-12-22,contracts,1037025
2023-12-21,ati_nil,3047
2023-12-21,contracts_nil,74
2023-12-21,ati_all,167516
2023-12-21,parliament_committee_deputy,230
2023-12-21,transition_deputy,46
2023-12-21,hospitalityq,22698
2023-12-21,travelq,92525
2023-12-21,grants,949369
2023-12-21,grants_nil,167
2023-12-21,reclassification_nil,839
2023-12-21,wrongdoing,47
2023-12-21,travela,488
2023-12-21,contracts,1037021
2023-12-21,dac,2882
2023-12-21,adminaircraft,20
2023-12-21,reclassification,11112
2023-12-21,contractsa,397
2023-12-21,transition,69
2023-12-21,qpnotes,4751
2023-12-21,hospitalityq_nil,3232
2023-12-21,travelq_nil,1967
2023-12-21,parliament_report,369
2023-12-21,briefingt,101425
2023-12-21,parliament_committee,267
2023-12-20,adminaircraft,20
2023-12-20,contracts_nil,74
2023-12-20,travelq_nil,1965
2023-12-20,transition_deputy,46
2023-12-20,grants_nil,167
2023-12-20,parliament_committee,267
2023-12-20,transition,69
2023-12-20,travelq,92427
2023-12-20,ati_nil,3040
2023-12-20,parliament_committee_deputy,230
2023-12-20,hospitalityq_nil,3227
2023-12-20,reclassification_nil,839
2023-12-20,ati_all,167493
2023-12-20,reclassification,11111
2023-12-20,wrongdoing,47
2023-12-20,grants,949375
2023-12-20,contracts,1037000
2023-12-20,qpnotes,4751
2023-12-20,dac,2882
2023-12-20,hospitalityq,22687
2023-12-20,travela,483
