year / année,month / mois,visits / visites,downloads / téléchargements
2023,04,138,11
2023,03,269028,130729
2023,02,248567,108384
2023,01,268339,128875
2022,12,199321,82451
2022,11,263299,119851
2022,10,240218,104813
2022,09,230033,94247
2022,08,235900,98008
2022,07,212608,83516
2022,06,211167,87544
2022,05,222922,89410
2022,04,226722,96882
2022,03,255983,116366
2022,02,236119,112104
2022,01,250936,128089
2021,12,187242,92498
2021,11,228267,125064
2021,10,224056,118689
2021,09,214318,101258
2021,08,191322,91551
2021,07,184059,89360
2021,06,195249,101260
2021,05,203966,87985
2021,04,209568,95070
2021,03,228050,113365
2021,02,199766,102883
2021,01,203419,91803
2020,12,174524,74529
2020,11,204271,87276
2020,10,184597,80076
2020,09,83613,41480
2020,08,110712,43150
2020,07,123815,48756
2020,06,171526,59392
2020,05,172941,58844
2020,04,179229,61998
2020,03,179075,69377
2020,02,170178,75252
2020,01,188288,75225
2019,12,140463,53318
2019,11,178965,78940
2019,10,195971,84078
2019,09,147413,65462
2019,08,124081,53353
2019,07,140326,61059
2019,06,155880,55866
2019,05,131312,56544
2019,04,143829,60625
2019,03,152337,64756
2019,02,151264,64759
2019,01,148388,62999
2018,12,110011,46031
2018,11,170175,66161
2018,10,128446,57683
2018,09,127428,52850
2018,08,122546,48110
2018,06,61505,3
2018,05,71897,310
2018,04,70298,541
2018,03,73184,407
2018,02,67005,324
2017,11,134846,60158
2017,10,137767,60713
2017,09,142412,50234
2017,08,153199,44269
2017,07,102979,42656
2017,6,100766,26583
2017,5,109079,28859
2017,4,109445,29168
2017,3,125081,38095
2017,2,94873,30858
2017,1,87381,24845
2016,12,65516,15860
2016,11,78899,21672
2016,10,45216,4785
2016,9,32711,95
2016,8,35522,3846
2016,7,40973,6163
2016,6,49014,7165
2016,5,47312,6861
2016,4,46352,7126
2016,3,46174,7437
2016,2,39998,7170
2016,1,36951,4091
2015,12,31885,3313
2015,11,37046,4243
2015,10,35392,3716
2015,9,34270,3903
2015,8,28770,4158
2015,7,30027,4791
2015,6,30253,4343
2015,5,31541,4539
2015,4,29889,4810
2015,3,35361,4983
2015,2,37666,7273
2015,1,58482,5725
2014,12,34027,3641
2014,11,61206,12190
2014,10,75663,16006
2014,9,69625,12429
2014,8,28685,9259
2014,7,27574,10675
2014,6,28172,9339
2014,5,32879,11147
2014,4,33018,11395
2014,3,38368,17883
2014,2,38084,25761
2014,1,31176,11109
2013,12,19487,6657
2013,11,23942,10156
2013,10,24616,10145
2013,9,21759,7031
2013,8,26571,7684
2013,7,48972,14656
2013,6,39072,2785
